cuisine,name
Cafes,Cafe Casa Nova
Mexican,Santiago's Cafe
Cafes,Cafe Zumzum
Canadian (New),Brentwood Bay Pub
Gastropubs,Christie's Carriage House Pub
Cafes,Joie French Cafe
Cafes,Tre Fantastico
Indian,Sizzling Tandoor
Soup,Hot and Cold Cafe
Korean,Koryo Korean BBQ
Mexican,La Taqueria
Coffee & Tea,Caffe Fantastico
Indian,Big Bite Samosa
Tapas/Small Plates,Tapas on Oak
Bakeries,Honeybun
Greek,Greek N Go
Fast Food,McDonald's
Breakfast & Brunch,West Coast Waffles
Japanese,Shizen Sushi Japanese Restaurant
Indian,Royal Spice
Breakfast & Brunch,Denny's
Poutineries,Maham & Pop's Donair Poutine
Delis,Italian Food Imports
Cafes,Olive Olio's
Chinese,The Red Kettle Restaurant
Delis,The Wooden Shoe
Delis,Sol Food Cafe and Deli
Cafes,Bon Appetit Cafe
Buffets,Lion's Den Restaurant
Sandwiches,The NOOK coffee & tea
Cafes,Marta Cafe and Pantry
Pizza,Domino's Pizza
Indian,Varsha
Japanese,The Poke Lounge
Indian,The Royal Tandoor
Mexican,Taco Stand Al Pastor
Korean,Dak
Gluten-Free,Benjamin's Bites
Chicken Shop,Hi Five Chicken
Poke,Steve's Poke Bar
Mediterranean,Med Grill Royal Oak
Food Stands,Finest At Sea Food Truck
Mexican,Puerto Vallarta Amigos
Pizza,Bubby Rose’s Bakery
Japanese,Cube Food Box
Indian,The Mantra Fine Indian Cuisine
Greek,OPA! of Greece Mayfair Centre
Italian,Windsor Cafe
Bistros,Uptown Bistro
Greek,The Village Taverna
Hawaiian,Poke Fresh
Caterers,Mr Tube Steak
Indian,Shashwat Indian Cuisine
Cafes,JBI Café Restaurant
Seafood,Ferris' Grill & Garden Patio
Seafood,Kwong Tung Seafood Restaurant
Sushi Bars,Hiro Japan Sushi
Burgers,Apple Tree Restaurant
Sushi Bars,Victoria Sushi
Pizza,Freshslice Pizza
Chinese,Shanghai City Chinese Restaurant
Seafood,Naughty Nellie's Not Just Fish & Chips
Cafes,Miche Cafe
Cafes,The Art Of Slow Food
Japanese,Japanese Village Restaurant
Burgers,Chef Dave's Dugout
Pizza,Fernwood Pizza Company
Chinese,Young's Restaurant
Restaurants,The Victorian Restaurant
Chinese,Ocean Garden
Steakhouses,Sonora Bar and Grill
Fast Food,DQ Grill & Chill Restaurant
Pizza,Ali Baba Pizza
Thai,Baan Thai Restaurant
Themed Cafes,Torch Song Cafe
Seafood,Songhees Seafood & Steam
Indian,Cafe Malabar
Italian,Mia Pasta
Poke,Ono Poke
Asian Fusion,Noodlebox
Chinese,Sun Wah Chinese Restaurant
American,McRae's
Soup,Soupa cafe
Pizza,Hothouse Pizza
Hot Dogs,Saint Franks
Sandwiches,The Bun Shop
Chinese,Hong Kong West
Indian,Fresh Tandoori Flavour Indian Restaurant
Cafes,Owly Cafe
Restaurants,The Olive Branch Restaurant
Breakfast & Brunch,The Village Restaurant
Chinese,Halibut House Family
Breakfast & Brunch,The Village
Ice Cream & Frozen Yogurt,The Hidden Gem
Chinese,Lee's House Restaurant
Japanese,Mutsuki-An
Chinese,Rainbow Chinese Restaurant
Sandwiches,Papa Moe's
Caribbean,Caribbean Village Cafe
Diners,Pluto's
Thai,Pho Wisdom
Pizza,Willows Pizza
Food Trucks,Morning People
Pizza,Pizza Al Forno
Delis,Seven Valley Fine Food & Deli
Burgers,Big Wheel Burger
American,Hideaway Restaurant
Japanese,Koto Sushi Izakaya
Ramen,Stubborn Chef
Vietnamese,Pho Vy Vietnamese Restaurant
Sushi Bars,Ohana Sushi & Poke
American,Red Robin Gourmet Burgers and Brews
Cafes,The Sunnyside Cafe
Mexican,Quesada Burritos & Tacos
Breakfast & Brunch,Floyd’s Diner
Ramen,Menbow Ramen Bar
Breakfast & Brunch,Thrive & Shine
Fish & Chips,James Bay Fish & Chips
Breakfast & Brunch,Fresko Fine Foods
Pop-Up Restaurants,Jiangyun Noodle House
Waffles,WaffleBeast
Seafood,The Old Vic Fish & Chips
Thai,Thai Lemongrass
Pizza,Ilgreco Pizzaria
Japanese,Yoshi Sushi Japanese Restaurant
Pizza,Serena’s Pizzeria & Hoagies
Pizza,Top Dog Pizza
Ice Cream & Frozen Yogurt,Beacon Drive In
Asian Fusion,Noodlebox
Japanese,Fish & Rice Maki Roll Shop
Pizza,Superior Pizza
Mediterranean,Fig Mediterranean Deli
Chinese,Ho Tong
Cafes,Board with Friends Cafe
Burgers,Bimo Burger Stand
Food Court,Thaigo
Poke,Ono Poké and Grill
Filipino,Casa Filipino Cuisine and Convenience Store
Sports Bars,The Canadian Brewhouse
Japanese,Chiba Sushi
Asian Fusion,Victoria Pocha
Chinese,East Garden Restaurant
Coffee & Tea,Macchiato
Vietnamese,Pho Halong
Burgers,Burger Crush
Breakfast & Brunch,The Urban Cup Bakery Cafe
Japanese,Fujiya
Pizza,Palagio Pizza
Italian,Romeo's
Burgers,Big Wheel Burger
Delis,Red Barn Market
Asian Fusion,The Mint For Lunch
Bubble Tea,BobaDog Bubble Tea & Hotdog
Cafes,Imagine Studio Café
Indian,Sizzling Tandoor
Sandwiches,Montreal subs
Burgers,Fatburger
Butcher,Red Barn Market
Turkish,Efes Turkish Doner
Breakfast & Brunch,Avalon Restaurant
Chinese,Panda Island Chinese Cuisine
Filipino,Benjamin's Cafe & Restaurant
Bars,The Keg Steakhouse + Bar
Italian,Cosmos 2 For 1 Pizza & Pasta
Mexican,Azteca
Vietnamese,Pho Boi
Cafes,Ground Control Cafe
Pizza,Q Pizza
Japanese,Shiki Sushi
Greek,Gyrosa Fresh Greek
Vietnamese,Le Pho
Vietnamese,Phonomenal Vietnamese Cafe
Pizza,Pizzeria Prima Strada
Seafood,Brady's Fish & Chip
Fast Food,Chicken World
Sandwiches,Subway
Cafes,Jackson Brothers Coffeehouse
Desserts,Ruth & Dean
Bakeries,Cinnaholic
Indian,Southern Flavours
Fast Food,Popeyes Louisiana Kitchen
Steakhouses,Montana's
Burgers,ABC Country Restaurant
Pizza,Second Slice Pizza
Cafes,Cafe Jumbo
Salad,Grad House
Fast Food,Burger King
Cafes,Songhees Café
Poke,Poke Fresh
Japanese,Sushi Island
Sushi Bars,Sushi Jiro
Mexican,Taqueria
Food Trucks,Deadbeetz Burgers
Fish & Chips,Willows Galley Fish & Chips
Fast Food,A&W
Japanese,Itami Sushi
Canadian (New),The Gathering Place Cafe
Pizza,Little Caesars
Street Vendors,Hotdog Hustlin’
Breakfast & Brunch,Tim Hortons
Filipino,Inasal House
Indian,Kuku's
Desserts,Machi Sushi
Middle Eastern,Shahrazad Restaurant
Soup,The Big Spoon
Delis,Broughton Street Deli
Pizza,Papa Johns Pizza
Thai,Baan Thai Restaurant
Canadian (New),Broad Street Kitchen
Japanese,Vicexpress Teriyaki & Roll
Ice Cream & Frozen Yogurt,Mosi Gelato
Coffee & Tea,Aegean Cafe
Breakfast & Brunch,The Village Royal Oak
Pizza,Second Slice Pizza
Pizza,Pizza Hut
Asian Fusion,Kulu
Pizza,Il Posto
Cafes,Yoka's Coffee
Pizza,Local Pizza
Sushi Bars,Togo Sushi Langford
Delis,Touch of Europe Deli
Food Trucks,Yummy Truck
Cafes,Cafe Luca
Tea Rooms,The Oaks Restaurant
Cafes,Chunky Kitchen Cafe
Cafes,Kissako Green Tea Cafe
Seafood,Marble Arch Fish & Chips
Thai,Little Thai Place
Fast Food,Wendy's
Cafes,Shine Cafe
Bakeries,Pure Vanilla Bakery & Cafe
Pubs,Felicita’s Campus Pub
Lounges,Ocean Island Lounge
Indian,Taj- Taste of india
Salad,Freshii
Delis,The Village Butcher
Greek,Estia Gourmet - Greek On The Street
Diners,Kitty's Hideaway
Thai,Little Thai Place
Bakeries,"Good Morning, Victoria!"
Italian,Valentino's Fresh Pasta & More
Barbeque,Refire kitchen
Pizza,Romeo's
Pizza,Panago Pizza
Hot Dogs,Victoria Oven
Vietnamese,Pho Tru
Mexican,Mucho Burrito Fresh Mexican Grill
Delis,Rising Star Deli
Japanese,Futaba Japanese Restaurant
Coffee & Tea,Loft and Ladder
Pizza,Hot House Pizza
Fast Food,The Baked Potato
Caribbean,Caribbean Village Cafe
Sandwiches,Glen's Fabulous Sandwiches
Mexican,Orale
Juice Bars & Smoothies,Jugo Juice
Japanese,Sushi Field
Indian,The Tikka Bar
Japanese,Azuma Sushi
Cafes,Upgrade Cafe
Delis,Maria's European Imports
