county,embedding
Addison Vermont,"-3.72869894e-02, 4.66881730e-02, 1.35027291e-02, 1.16857770e-03,-3.64590213e-02, 3.21558788e-02, 3.26087214e-02,-3.02667450e-02,-3.99858691e-02, 1.65775158e-02, 2.85387579e-02, 1.83538496e-02, 1.35360816e-02, 9.87424795e-03,-1.45313637e-02, 1.48734916e-02,-5.42450347e-04, 2.37456765e-02, 5.56816580e-03, 8.54965113e-03, 1.40795084e-02, 1.17348367e-03,-7.61751458e-03, 9.38170217e-03, 1.38417855e-02, 1.07091432e-03,-2.57803989e-03,-1.20576601e-02,-2.11367607e-02,-1.52627379e-02, 1.16246333e-02,-4.04911349e-04, 1.41333155e-02, 3.53160570e-03,-7.71808298e-03,-6.08905684e-03, 4.86171944e-03, 5.45553071e-03,-5.02932118e-03, 3.73350969e-03,-4.00638201e-05,-5.90227777e-03, 7.93803111e-03,-3.67203553e-04, 1.23273674e-03, 8.99172947e-03, 1.01576643e-02, 7.71420728e-03, 1.90455746e-03,-6.40499126e-03"
Aiken South Carolina," 0.01280414,-0.01749448,-0.02293423,-0.00039793, 0.02488668, 0.00337275,-0.01520243,-0.01045473,-0.02583199, 0.00604446, 0.0112107 ,-0.00693214, 0.01229495,-0.00452978, 0.00103535,-0.00818644, 0.00253606, 0.00429599,-0.02444648, 0.02648338,-0.01021606,-0.01448959, 0.00341876,-0.00597369, 0.00582361, 0.00154405,-0.00454191, 0.00969745,-0.00301754, 0.00086815, 0.00136729, 0.00038272,-0.00972856,-0.00621855, 0.00072911, 0.00291276,-0.00972602, 0.0014194 , 0.0122188 , 0.00416722,-0.01176423, 0.00133983,-0.00971654,-0.01194356,-0.00044847,-0.00193942,-0.00069745, 0.00547559, 0.00334965,-0.00728846"
Aitkin Minnesota,"-4.7753215e-02, 1.2410908e-01, 4.1297562e-02, 1.3936425e-02,-1.2334803e-02, 1.3785404e-02,-9.9092647e-03,-2.9237736e-02,-4.1564391e-03,-1.5637234e-02, 2.4595656e-02, 5.5755200e-03, 1.4709463e-02,-8.2901362e-03,-1.5147374e-03, 1.2407340e-02,-2.6719987e-02,-9.7552622e-03,-4.5410283e-03, 2.7071084e-05, 7.0727970e-03, 1.3871564e-02,-2.8668637e-03,-1.4539571e-02,-1.2035931e-02, 1.9163845e-02,-7.1183271e-03, 9.8062353e-03,-2.1900397e-03,-2.0460948e-02, 6.4469771e-03, 5.7103983e-03,-1.7771557e-02,-1.4351700e-03,-1.3237799e-03,-5.9874775e-03, 7.5831036e-03,-1.9979747e-02,-2.1131264e-02, 1.7348422e-02, 1.3046729e-03, 8.3323885e-03,-7.0007010e-03,-2.2525387e-02,-1.2306998e-02, 5.5400939e-03,-1.2230204e-03,-5.0240643e-03,-1.1984758e-03, 2.1681441e-02"
Alachua Florida,"-0.00236635,-0.05593675,-0.01968582,-0.00176033,-0.02194317, 0.00785048,-0.03009986,-0.04031013, 0.02554098,-0.02116016,-0.03029499,-0.00152954,-0.00376974,-0.01204867,-0.03081461,-0.02882855, 0.01440486,-0.00487013,-0.005374  ,-0.00066007,-0.02265413, 0.01737025,-0.00170313,-0.0004744 ,-0.01921762,-0.03100787, 0.03423069, 0.00388881,-0.0144567 ,-0.01599026,-0.04377856,-0.01308228,-0.01051539,-0.01315335, 0.02342473, 0.02529966,-0.00321256,-0.00690155, 0.02001014, 0.00116533,-0.00909268,-0.00924779,-0.0163619 , 0.04462169, 0.00237497, 0.01424379,-0.00353474,-0.00373455, 0.00602404,-0.01274319"
Alamance North Carolina,"-0.00188225,-0.03695589,-0.02287238,-0.01264601, 0.02000825,-0.00479658,-0.01693208, 0.00700844,-0.0118494 , 0.0157071 , 0.01002485, 0.00033215, 0.00421707,-0.00682074,-0.00514756, 0.00115264,-0.0078166 , 0.00042286,-0.00727238, 0.0230863 ,-0.01556187, 0.00792304, 0.00645213,-0.01109641, 0.00844978,-0.00086751, 0.00465336, 0.00078313,-0.00262744,-0.00375195,-0.0025892 , 0.00916693, 0.00822738,-0.00879567, 0.01340859,-0.01103868, 0.00524463, 0.00459062, 0.01952292, 0.01063067, 0.00287133, 0.0030292 ,-0.00299437, 0.00407343, 0.00345023,-0.00119329,-0.01322091, 0.00729703, 0.00961625, 0.01880075"
Alameda California," 0.1932893 ,-0.11272658, 0.23250295,-0.01503909,-0.01936069,-0.0816911 , 0.07284484,-0.0181698 , 0.02612569,-0.00296163, 0.01681389,-0.04153969, 0.02235727,-0.01019082, 0.00729239,-0.00409455,-0.00361673,-0.00081201, 0.00988284, 0.03613596, 0.00188251,-0.00736675, 0.0188564 ,-0.00328091, 0.00248895, 0.00906727, 0.02422013,-0.0011979 , 0.01231466,-0.02734199,-0.00208377,-0.01468646,-0.00467252, 0.00721202,-0.00907467,-0.03089205,-0.0089944 , 0.00614162, 0.02281234, 0.00200134, 0.00286029, 0.00947124, 0.00544711,-0.00293976, 0.00049474,-0.01061923, 0.00182229,-0.00638387, 0.00968785,-0.01739261"
Alamosa Colorado,"-0.02511966,-0.02577549,-0.02125589,-0.05645714,-0.01461961,-0.01520497, 0.00895493,-0.02065662, 0.00787347, 0.01631099, 0.01634415,-0.01963056, 0.00199701,-0.00707795, 0.01095633,-0.00010139, 0.00202166, 0.00418961,-0.01170195, 0.00518666, 0.00032877, 0.01770529,-0.02240407,-0.00933599, 0.01312205,-0.01783711,-0.00957954, 0.02164861, 0.00754472, 0.00352789,-0.0015594 ,-0.01009989, 0.00253693,-0.01386973, 0.01038912,-0.01016802,-0.00139173,-0.00020747, 0.01083379, 0.00500425, 0.00510711, 0.00699989,-0.01698455,-0.00936764, 0.00450508, 0.0006545 ,-0.00308307, 0.00044377, 0.01144685,-0.00948736"
Albany New York,"-6.3545480e-03,-3.9386164e-02,-2.6086146e-02,-7.4343532e-03,-8.3964713e-02, 1.7944926e-02, 3.3540465e-02, 7.9903595e-02,-4.4958685e-02,-4.5070577e-02, 8.6330855e-03,-1.6067797e-02, 5.1711937e-03,-1.3218350e-02, 1.6189000e-02, 5.3091206e-02, 1.0546012e-02, 1.6114919e-02, 3.4745056e-03, 2.2875376e-02, 2.8845409e-02,-2.7269768e-02,-5.9183477e-03, 3.3360887e-02,-2.3127666e-03,-1.5790384e-02, 3.8685847e-02, 1.2653363e-03,-4.7725965e-03,-1.3609413e-03, 5.9500915e-05,-1.2981114e-02,-4.3974230e-03,-8.1332531e-03,-1.4275996e-03,-8.6216470e-03,-7.9986984e-03, 4.4925180e-03, 1.9643554e-02, 3.3579322e-03, 5.8280285e-03, 3.7484458e-03, 1.0857817e-02, 6.1147190e-03, 2.4576981e-02, 1.7973792e-02,-1.0704727e-02,-1.7266368e-03, 5.3495201e-03, 1.2275652e-03"
Albany Wyoming,"-7.43080862e-03, 6.31423295e-03, 3.72684821e-02, 1.40368165e-02,-1.96866337e-02, 1.07474318e-02,-2.73647048e-02,-2.08660699e-02,-8.29356350e-03,-6.02267031e-03, 2.18076594e-02, 1.48225864e-02,-2.96840835e-02, 3.33023705e-02,-8.84569075e-04, 9.92058776e-03,-2.09511928e-02,-8.04470154e-04, 7.50274584e-03,-8.51794798e-03, 1.81263983e-02, 9.89342574e-04,-1.25906887e-02, 1.34773925e-02,-7.13967893e-04,-1.77955832e-02, 1.00127580e-02, 2.94019189e-03,-4.30867076e-03, 5.70155354e-03, 4.17587627e-03,-2.84630130e-03, 9.29316040e-03,-1.14309732e-02, 1.31621957e-02, 7.00192712e-03,-4.33424691e-04,-5.27393539e-03, 1.32500818e-02,-2.00153771e-03, 6.66658953e-03,-9.91450623e-03,-5.95874619e-03, 7.82130286e-03, 6.26898697e-03, 8.09891266e-04,-1.22527657e-02, 2.53335689e-03, 5.40148576e-05,-4.65022866e-03"
Albemarle Virginia,"-0.01690527,-0.00390094, 0.01884775,-0.00851226, 0.00526776, 0.03587202,-0.00396754,-0.03091809,-0.0391596 , 0.00922794, 0.01582996, 0.01267245, 0.00209371, 0.01417956,-0.00521544, 0.00116733,-0.00316641, 0.01600976, 0.00310193, 0.02080885,-0.00265344, 0.01845133, 0.00844825, 0.00297853, 0.00398037,-0.00155288,-0.01893532,-0.00135261,-0.01552238, 0.00080164, 0.00028036,-0.01671737, 0.00017148, 0.0097332 ,-0.00430769, 0.00890658, 0.00851282, 0.01713027, 0.01339315, 0.00535813, 0.00680182,-0.00538467, 0.00293268, 0.00291017, 0.00684631,-0.00648403, 0.00734456,-0.0165788 ,-0.00098778,-0.00865625"
Alcona Michigan,"-0.03390133, 0.13141114, 0.0588323 , 0.01629331,-0.00887646, 0.00254893, 0.01128316,-0.03913371,-0.00321818,-0.01017358,-0.02073279,-0.00087267,-0.00590078, 0.00263139,-0.01103069, 0.01839007,-0.01682539, 0.00587123, 0.02812077, 0.00587346, 0.02361708, 0.00123689,-0.00219155,-0.00671506,-0.00907621,-0.00205234, 0.00752518, 0.01168103,-0.02564009,-0.01161797,-0.00075295, 0.01386716, 0.00633173,-0.02629073,-0.01262894,-0.00378376,-0.0058688 , 0.00397398, 0.00738321, 0.01593428,-0.01162775,-0.02155687,-0.0234482 ,-0.0002765 , 0.00119081,-0.00862782,-0.00701926,-0.00286789, 0.00321623,-0.01077072"
Alcorn Mississippi,"-0.01724726,-0.0301514 ,-0.01655378,-0.00136027, 0.01899263,-0.00502175,-0.00959586, 0.002103  ,-0.00029761, 0.00054133, 0.00528444, 0.00097539, 0.01224133,-0.01220391,-0.00166603, 0.0019809 ,-0.01664401,-0.00055721,-0.01399723, 0.01919814, 0.00050662,-0.01628788, 0.00825111, 0.01039087, 0.00361549, 0.00508449, 0.00249847,-0.00064008,-0.01309323, 0.00188656, 0.01065744, 0.0012311 , 0.00937217,-0.01291626, 0.01382475,-0.00520207, 0.00280879, 0.00219367, 0.0109774 ,-0.00046577,-0.00349065, 0.00805868,-0.02850099,-0.00218292,-0.00301928,-0.00313859, 0.00335089,-0.00465106, 0.00407914,-0.00299899"
Aleutians East Borough Alaska,"-0.08911072, 0.04784252,-0.03318026,-0.08229991,-0.09034681, 0.08698878, 0.09098988,-0.15107173,-0.03386791,-0.05679242, 0.14764975,-0.11807234, 0.01048036,-0.1316463 ,-0.00142775,-0.07087997, 0.093095  , 0.02149848, 0.06381178, 0.00250444, 0.01516908,-0.04007712,-0.03054171, 0.00341402, 0.0806423 ,-0.07657038, 0.00277042,-0.13122633,-0.05249453, 0.03250041,-0.05005045,-0.02904564,-0.024243  , 0.00667819, 0.03918407, 0.02533383, 0.01850129,-0.06914601,-0.0199154 ,-0.02043086, 0.04266005,-0.07109325,-0.10074703, 0.02560743, 0.02206734, 0.03020116,-0.03890162, 0.00860041, 0.00849628, 0.04741152"
Aleutians West Census Area Alaska," 0.00112483, 0.00208897, 0.05246539,-0.10103008,-0.01260575, 0.06482387, 0.01427136,-0.03545251,-0.08311462,-0.01615912, 0.03376211,-0.01530325, 0.05062445,-0.01814502, 0.02843386,-0.03644238, 0.02394933, 0.00374464,-0.0652788 , 0.03353243, 0.02136828,-0.01565802,-0.00334071,-0.01539893, 0.01556991,-0.02525567, 0.02343052, 0.01753586,-0.01671991,-0.02601643, 0.01562721,-0.002909  ,-0.0137156 , 0.0271561 , 0.00162276, 0.06239752,-0.00701119, 0.02086964,-0.019867  , 0.02251951,-0.02938224, 0.01938065, 0.00464204,-0.03721956,-0.03247695, 0.03284468,-0.00638426,-0.02932476, 0.00598395, 0.0064513 "
