county,embedding
Adams Illinois,"-1.2961391e-01,-4.7145162e-02,-2.2918202e-02,-3.3103153e-02, 4.3860439e-02,-4.0041305e-02,-1.8490819e-03, 6.5186010e-03, 1.2930520e-02, 8.7019186e-03,-8.1314771e-03, 2.8430952e-03, 1.2247105e-02,-7.1406281e-03,-6.1568134e-03,-3.2833244e-03,-6.9708365e-04,-6.5088919e-03,-4.5049326e-03, 2.9647711e-03, 1.3439745e-02, 3.0736956e-03,-6.6572558e-03, 5.4153092e-03, 6.6730510e-03, 4.8603299e-03, 9.8222103e-03, 1.1057228e-02,-2.9024915e-03,-6.2669059e-03,-6.5096715e-03, 9.5865941e-03, 4.6218527e-03, 5.5977665e-03, 5.0023054e-03,-8.2293563e-03,-8.5191830e-04,-1.9591199e-03,-6.1673261e-03, 3.1137453e-05,-4.5952587e-05, 3.3029376e-03,-9.1629918e-04,-1.8478048e-03,-1.9383475e-03, 1.5895511e-03,-7.6526240e-04, 4.0147509e-03, 1.3910978e-04,-3.4464632e-05"
Adams Indiana,"-7.4310429e-02,-1.6877092e-02, 4.8919149e-02,-2.8798204e-02,-3.8728371e-02, 3.0452980e-02,-2.2341533e-02,-9.5252348e-03, 8.6183762e-03, 1.4149427e-02, 6.5217861e-03,-1.2539356e-02,-4.4043399e-03,-2.8203288e-03, 6.0171477e-04,-1.2989764e-03, 2.4644198e-04,-1.6694925e-03,-8.3501255e-03,-2.8138317e-03,-6.7287171e-03, 9.8323380e-06, 1.5420037e-02, 1.0806936e-02, 9.1539426e-03,-5.0588916e-03,-8.2204780e-03,-4.0120850e-03,-4.0623313e-03, 5.1400117e-03, 9.6036255e-04,-2.8464287e-03,-9.5432496e-04, 5.3785992e-04, 1.7247100e-03, 2.7759082e-03,-1.0820583e-03,-1.0510538e-03, 7.8575977e-04, 2.1843526e-03, 3.3421938e-03, 1.7851460e-03,-4.0362077e-04, 1.7680184e-03,-6.9466402e-04, 5.9686712e-04,-2.1845473e-03,-4.1457708e-04,-2.1095462e-03, 7.2159804e-05"
Adams Iowa," 7.87358060e-02, 8.72831792e-02, 3.64480019e-02,-4.50366065e-02,-1.20942164e-02, 1.37434406e-02, 2.13501621e-02, 4.19238284e-02, 1.97356641e-02,-2.08533164e-02,-3.29626016e-02, 4.91019376e-02,-1.67662825e-03, 5.57143753e-03, 9.14103538e-03, 6.80083968e-03, 3.74840386e-02, 2.06830855e-02,-2.62393001e-02, 4.17848630e-03, 7.66529003e-03,-1.34276189e-02, 1.25836697e-03,-2.30688346e-03,-6.92597730e-03,-1.30044371e-02, 3.29673174e-03, 2.10844050e-03,-1.60873160e-02, 1.97370187e-03, 9.37191118e-03,-4.41716844e-03, 6.07071677e-03,-1.78955309e-03,-6.96917903e-03,-1.68284285e-03, 6.89665228e-03,-7.35914614e-03,-3.84436036e-03, 7.01069459e-03, 2.94810539e-04,-2.52924813e-03,-1.22583332e-03, 1.81034987e-03, 2.40860530e-03, 2.57650157e-04,-1.23802165e-05,-1.35835621e-03, 2.81172222e-04,-3.39375372e-04"
Adams Mississippi,"-1.34415608e-02,-2.02667457e-03,-3.11075877e-02, 1.05074476e-02,-2.30033547e-02,-1.46138165e-02, 5.04469462e-02,-7.54721183e-03, 4.04409133e-03, 7.58315029e-04,-8.43317527e-03, 6.29417598e-03, 1.78136639e-02, 3.64953931e-03, 4.47802013e-03, 2.25428375e-03, 1.63041800e-03,-3.51100811e-03, 1.20932730e-02, 4.56252880e-03, 5.49602462e-03,-7.41040800e-03, 4.66237497e-03,-4.67353500e-03, 4.94138291e-03,-3.89367982e-04, 1.53896771e-02,-2.64969375e-03, 9.40280035e-03,-5.21916291e-03, 5.27751166e-03,-2.79176491e-03, 3.75369866e-03, 1.57105224e-03,-3.01600201e-04, 1.71477895e-03,-4.74977028e-03,-2.52399687e-03,-1.03786227e-03,-1.99434068e-03, 1.04734476e-03,-8.85024667e-04,-5.91501012e-04,-1.30683917e-03,-1.29785202e-03, 6.51031034e-04,-2.11823819e-04,-5.44552349e-05, 7.62254349e-05, 6.11218042e-04"
Adams Nebraska,"-4.5710754e-02, 2.3766754e-02,-4.4497840e-02, 6.9526389e-02,-1.9773684e-02,-7.7572153e-03, 2.0554522e-02, 2.1332412e-03, 3.9320007e-02, 2.3541544e-02,-1.3643745e-02, 2.8029595e-02, 5.2826931e-03,-1.2194955e-02, 5.2583897e-03,-8.3579188e-03, 6.8859830e-03,-1.6150473e-03, 1.6798617e-03,-4.4390857e-03,-1.9130901e-03,-1.2189251e-03, 5.5669313e-03,-6.1622248e-03, 1.6390781e-03, 2.3677975e-03, 6.7430916e-03,-1.5363453e-03,-5.5954969e-03,-6.2652741e-04,-6.4352686e-03, 1.0827205e-02, 3.1223805e-03, 2.7683449e-03, 5.8898246e-03,-7.1201497e-03,-2.3127974e-03,-2.0687627e-03,-4.1355058e-03, 2.0170338e-03, 2.0204734e-03,-1.2752344e-03, 6.8150605e-03,-8.4999797e-04,-1.7886908e-03, 5.0789437e-05, 5.1365001e-03,-3.8848893e-04,-3.1642653e-03,-1.0580103e-03"
Adams North Dakota," 1.01536311e-01, 1.70287400e-01,-6.18789233e-02, 2.37410516e-02,-5.04270718e-02,-2.18141284e-02, 3.20422351e-02,-3.26193906e-02,-4.05305885e-02,-7.14024380e-02,-6.25891834e-02, 2.97775157e-02, 9.28771961e-03,-6.44182693e-03, 4.79567889e-03,-1.32017760e-02,-5.22360485e-03,-7.54290028e-03,-1.06195628e-03,-7.44524086e-03,-5.34632802e-03, 1.35202939e-03, 4.33448702e-03,-3.05323419e-03,-1.66750187e-03,-3.59182619e-03, 1.15577050e-03,-6.37526158e-04,-8.85734567e-04, 1.83004769e-03, 1.80759438e-04, 1.68020674e-03, 9.73987742e-04,-1.17284537e-03,-6.15596855e-06,-1.12962618e-03, 1.02032337e-03,-3.60838283e-04, 6.77084725e-04, 2.42603914e-04,-3.29898176e-04,-2.72445672e-04,-6.41094928e-04, 1.06564825e-04, 1.24997125e-04, 5.00588678e-04,-3.03519570e-04,-2.22840245e-04,-3.27929389e-04,-2.81011307e-04"
Adams Ohio,"-4.77191508e-02, 9.13216965e-04, 3.17367129e-02,-4.13951501e-02,-5.40701710e-02, 3.34433727e-02,-1.58173237e-02, 5.90610970e-03,-1.86142628e-03,-8.64482112e-03, 5.26576256e-03,-1.18002957e-02,-7.63009628e-03, 1.25872614e-02,-4.36945911e-03, 4.37282072e-03, 2.43519042e-02, 2.38354616e-02,-1.43468194e-02, 4.66114405e-04,-4.29850817e-03,-2.53452756e-03, 3.67964339e-03,-2.88397446e-03,-2.35978630e-03,-1.00641593e-03,-3.70131893e-04,-1.28665566e-03,-5.15213935e-03, 1.77351537e-03, 5.56684984e-03, 6.67732093e-06,-8.46115639e-04,-9.81245539e-04,-1.11078459e-03,-2.12511048e-03, 1.89786399e-04,-3.87462252e-03,-1.54211465e-03, 3.35801090e-03,-1.73341177e-04,-4.68841550e-04,-2.49433710e-04, 1.02885661e-03, 8.04133364e-04, 2.23603231e-04,-1.81346652e-04,-3.17274593e-04, 1.57500690e-04, 1.04629646e-04"
Adams Pennsylvania,"-0.0695962 , 0.06742746, 0.06911992,-0.01676962, 0.00858957, 0.04537886, 0.01028692,-0.01018481, 0.00588496, 0.0229727 ,-0.02169896,-0.00071574,-0.00928363, 0.00298975,-0.0024945 ,-0.01671151, 0.00538836,-0.00068291, 0.0131482 ,-0.0031964 , 0.00700668,-0.01260047,-0.00030324,-0.00540061, 0.00413473, 0.00497861, 0.00672836,-0.00044971, 0.00175977,-0.00295116, 0.00910715,-0.01050531,-0.0007357 , 0.00159826, 0.00042846, 0.00057952,-0.00020727,-0.00042556, 0.00020485,-0.00354608,-0.00133088, 0.00157728, 0.00159761, 0.00014229,-0.00044643,-0.00087567, 0.00016883, 0.00027427,-0.00064064, 0.00299878"
Adams Washington," 4.1941475e-02,-5.1251609e-02, 1.8322269e-02, 4.9963635e-03, 1.7726382e-02,-1.3685713e-02,-1.0920983e-02,-2.0989293e-02, 2.4849992e-02, 1.3051592e-02,-2.2844186e-03, 1.7481683e-02,-8.2897935e-03,-5.3616120e-03, 6.5761958e-03,-9.0731764e-03, 1.9486923e-02, 4.0935568e-04,-9.8877205e-03,-9.6146954e-04,-2.1453078e-04,-1.3256031e-03, 1.1475022e-04, 7.1839811e-03, 9.5152222e-03, 6.9176173e-03, 4.1430788e-03, 1.1653861e-02, 6.9182785e-03,-7.8671183e-03, 3.4532759e-03,-7.5139487e-03, 2.9882733e-03, 1.0064075e-02, 1.2981334e-03, 1.4111159e-03,-7.6310831e-04, 4.2524179e-03,-1.2905958e-05, 3.6700310e-03, 1.9461865e-03, 6.9549158e-03,-1.9786591e-03, 2.9753756e-03,-2.6710059e-03,-2.9323649e-04,-4.1102064e-03,-2.4177998e-04,-2.4376996e-03,-2.8833491e-04"
Adams Wisconsin," 0.08731011, 0.14707698,-0.03296355,-0.03778988,-0.05217789,-0.0395355 , 0.00898411, 0.01927445,-0.00211953, 0.00952069, 0.04969949, 0.01367208, 0.00992991, 0.00719426,-0.00589091, 0.00337167,-0.00135087, 0.00694095, 0.00172948,-0.00574061, 0.01171793, 0.00192715, 0.00699632,-0.0033364 ,-0.00191642, 0.00248673,-0.00351088,-0.00314242, 0.00086567, 0.00319802,-0.00150638, 0.00101073,-0.00062194, 0.00346523, 0.00678401, 0.00481849, 0.00169346,-0.00188897, 0.00054612,-0.00179633,-0.00273197,-0.00021294,-0.00164512, 0.00107864, 0.00279907,-0.00080283, 0.00051211,-0.00123411, 0.00033954, 0.0005341 "
Addison Vermont," 1.5080319e-01,-3.0823361e-02, 4.4879388e-02,-4.3595515e-02,-7.6865107e-03, 1.4690775e-02, 1.7769033e-02,-3.7520372e-03, 2.0789184e-02, 1.9435942e-02,-1.5253182e-02, 7.7338926e-03,-9.4486848e-03,-2.0171136e-03, 2.6138485e-03, 9.4426544e-03, 8.7400982e-03, 1.8845735e-02,-8.2339179e-03, 4.3467795e-03,-1.2236510e-02, 6.5173618e-03, 7.7850823e-03, 5.6509264e-03,-1.0921062e-03,-8.8464087e-03, 5.0825430e-03, 2.7209683e-03, 1.2401177e-02,-1.2507237e-03,-3.0482744e-03, 7.3589487e-03, 2.1212862e-03,-3.4448581e-03,-3.8093445e-03,-1.5926926e-03, 5.0115767e-03,-8.0485251e-03, 1.8382977e-03,-7.5166003e-04,-1.8103949e-03, 3.6629415e-03, 1.7351136e-03, 5.8303960e-03,-3.7261725e-03, 1.7277724e-03,-3.4555388e-03, 4.7465633e-03, 2.4934232e-03, 6.5553053e-05"
Aiken South Carolina," 5.8315009e-02, 8.3289947e-03,-1.6132127e-02,-1.0403288e-02, 3.3116415e-03,-4.0756430e-02,-7.8336941e-03,-6.6991630e-03, 1.5469407e-02, 3.7911017e-03, 2.5482154e-02,-1.6937761e-02, 8.6189965e-03,-2.3009446e-03, 5.0363789e-04,-6.1171320e-03,-5.7540326e-03, 3.3891792e-03, 7.9709161e-03, 7.1954732e-03,-1.9121901e-03,-4.4312052e-04,-2.7805027e-03, 9.0452945e-03, 4.7426098e-03, 3.1846724e-04, 1.3068652e-02, 2.8391227e-03, 6.1841137e-03,-9.9370535e-03, 1.1172949e-02,-5.9049614e-03,-1.4685303e-03, 1.9252920e-03, 2.4629009e-04, 7.5509725e-04,-1.1682938e-03, 1.6304285e-03,-7.9354504e-06,-1.3430370e-04,-1.5749278e-03, 2.1627890e-03,-1.1042801e-03,-4.6289459e-04, 1.4683166e-04,-1.5749816e-03, 6.4396940e-04,-3.2509412e-03,-1.4165471e-03,-1.1697712e-03"
Aitkin Minnesota," 0.16623712, 0.06414756,-0.01649911,-0.08806101,-0.03411501,-0.00294184,-0.01255506, 0.00798356, 0.00132975, 0.02642314, 0.00281067,-0.02351893,-0.01323695, 0.01355002,-0.00523945, 0.00556326, 0.01741535, 0.02827367,-0.00551874,-0.00096184,-0.00398144, 0.00162348, 0.0035991 ,-0.00623307,-0.00336834, 0.00700429, 0.00355903,-0.00580536, 0.00128309, 0.00228793, 0.00243103, 0.0001766 , 0.00208477,-0.00232983, 0.00175718, 0.00167238,-0.00083618,-0.00085649,-0.00052417, 0.00157028, 0.0036834 ,-0.00482561,-0.0020016 , 0.00163767, 0.00105735,-0.01419227, 0.0020064 , 0.00606956, 0.0051041 ,-0.00645604"
Alachua Florida,"-1.4674719e-02,-6.5750837e-02, 2.4431633e-02, 7.3577459e-03, 4.9118739e-02,-4.6634201e-02,-1.7919913e-02, 4.7980910e-03, 1.8844038e-02, 1.1942525e-02,-5.0519028e-04, 1.0358456e-02,-7.6484168e-03,-2.6496451e-03, 8.8716494e-03,-5.1073078e-03,-8.9591471e-03, 1.2788770e-03, 1.7568881e-04,-1.1330414e-02, 8.7074732e-04, 7.0407183e-04, 4.4580474e-03,-1.7984957e-03,-7.7327125e-04, 1.1841576e-02,-2.2134962e-04,-3.1799483e-03, 5.9576688e-04, 2.3631321e-03, 7.0737856e-03, 2.6828444e-03, 2.7996316e-03,-4.0268134e-03,-1.5731431e-03, 4.2245942e-03, 8.9799584e-04,-5.2761912e-05, 2.5035581e-03, 1.7521105e-03,-6.4335775e-04, 4.1654974e-04, 6.4315402e-04, 6.6439441e-04,-3.3796119e-04,-1.1505589e-04,-5.9466849e-05,-2.8348377e-03, 3.7414263e-04,-1.7953722e-04"
Alamance North Carolina," 1.60846822e-02,-4.57420833e-02,-1.41760698e-02, 5.09639308e-02,-1.45851485e-02,-6.09820662e-03, 6.31051930e-03, 2.20311284e-02, 1.44647835e-02, 3.46224778e-03,-1.04135775e-03, 3.03321574e-02,-8.02505948e-03,-1.21008949e-02, 1.02107534e-02,-2.40415148e-03, 2.78092284e-05, 3.03966063e-03, 7.41642248e-03,-1.04903942e-02,-1.29030307e-03,-5.04424702e-03, 7.16448901e-03,-1.00331092e-02,-4.28195903e-03, 3.42158927e-03, 3.75060714e-03,-1.96479866e-03,-3.12256627e-03,-2.82018853e-04, 1.46761467e-03, 6.21370692e-03, 9.70068388e-03, 5.46472287e-03,-1.34642341e-03, 1.43870102e-05,-1.12265479e-02,-8.71336926e-03, 2.11430225e-03,-9.04478831e-04, 3.81682976e-03,-3.98845458e-03,-1.53177720e-03,-1.91541063e-03,-2.48582987e-03, 8.68235540e-04, 2.43321271e-03,-1.60383212e-03,-8.46666284e-04, 2.58287910e-05"
Alameda California,"-2.21935093e-01,-2.58467764e-01,-1.57443568e-01,-2.21806075e-02,-3.84211764e-02,-2.27765925e-02, 1.64971128e-03, 3.00025381e-02, 1.27638765e-02,-1.00683770e-03, 1.61009543e-02, 1.05572911e-02, 1.76188517e-02,-6.95102662e-03,-1.35619845e-02,-1.07783787e-02, 1.20694179e-03,-8.25921132e-04, 1.21120792e-02, 1.83778175e-03,-1.09860324e-03,-1.85297162e-03, 2.80961697e-03,-1.65085553e-03,-1.34599935e-02, 7.19864445e-04,-8.01204238e-03,-5.62675414e-04, 6.24011643e-03,-1.67369749e-03, 5.08108234e-04,-1.09215977e-03,-2.39694933e-03,-5.81639726e-03,-5.89623269e-05,-1.53787620e-03, 3.06768133e-03, 1.79054192e-03, 5.29417954e-03, 2.63773999e-03,-2.27944041e-03,-1.83771178e-03, 8.68260744e-04, 5.88016992e-04,-1.30180549e-03, 2.51511694e-03, 1.59417838e-03, 6.06329588e-04, 9.95103037e-04,-4.69935872e-03"
Alamosa Colorado," 3.5628475e-02,-6.0103729e-02, 2.5680818e-02, 9.5030829e-02,-1.6998287e-02,-4.3130321e-03, 2.5568658e-03,-7.8409212e-03, 1.1589427e-02,-2.1150103e-02, 1.5749788e-03, 2.1819867e-02, 5.8192764e-03,-1.6180609e-03,-1.6521176e-02, 3.1167383e-03, 7.1618902e-03, 1.5409638e-02, 4.9407524e-03,-1.3004919e-02,-9.6030254e-04, 3.2419963e-03,-4.2595426e-03,-2.3210286e-03,-1.0997914e-02,-9.6789300e-03, 3.4826011e-03,-9.0255318e-03, 4.4257203e-03,-3.2166890e-03,-4.3815356e-03, 2.9862842e-03,-2.9579548e-03,-1.7283660e-03, 1.0499019e-02, 3.6762173e-03,-8.5717946e-04,-2.6137740e-03,-3.7897318e-03, 6.4654434e-03,-3.7828365e-03,-2.5509105e-03,-4.1908766e-03,-2.7246366e-03,-3.7940976e-03, 6.3170097e-04, 2.0325298e-03, 7.9715491e-04,-1.9805203e-03, 6.4272208e-05"
Albany New York,"-1.6184326e-02,-3.1527750e-02, 7.5026058e-02, 2.5557080e-02, 2.0149169e-02,-9.8207900e-03,-1.2620191e-02,-1.3349643e-02, 1.5720785e-02, 1.2583850e-02, 1.0019992e-02, 2.1833545e-02, 2.5885378e-03,-1.1785498e-02,-1.1511549e-02,-4.7488455e-03,-3.5573882e-03,-8.8215375e-04,-8.7216794e-03,-2.2594922e-03, 3.3115097e-03, 4.5022811e-03, 2.6104029e-04,-4.3359338e-03, 1.7008068e-02, 2.6034284e-03, 2.8821244e-03,-6.4212484e-03, 7.2026593e-03, 5.7581114e-03,-6.1394827e-04,-8.5937779e-04, 3.9670081e-03, 2.5922491e-03,-2.5382575e-03, 4.3946409e-04, 3.8568052e-03,-2.7244086e-03, 2.6579301e-03,-1.2498304e-03,-1.0631884e-03, 2.8972873e-03, 9.5796119e-04,-3.7642056e-04, 1.8339870e-03,-9.7710463e-06,-9.1647892e-04, 1.5509756e-04, 8.7591959e-04,-2.1860658e-03"
