city,state,pop,white,black,asian,indigenous,pacific,hispanic,two_pop
Dakota,Minnesota,429021,0.8362201384081432,0.0748844462159195,0.05219558016973528,0.006204824472461721,0.0009533332867155687,0.07557905090892987,0.02954167744702474
Dallas,Texas,2635516,0.665575545737533,0.2357591454576637,0.06724869057899857,0.010817236548744155,0.0010673431692313764,0.4075843212486663,0.019532038507829207
Dane,Wisconsin,546695,0.8491901334382059,0.055319693796358115,0.06298393071090827,0.004679025782200313,0.0005487520463878396,0.06541673144989436,0.02727846422593951
Dauphin,Pennsylvania,278299,0.7146737861077475,0.19210633167923707,0.053262857574048056,0.004484385499049583,0.000891127887631648,0.09901580674023262,0.03458151125228621
Davidson,North Carolina,167609,0.8562368369240315,0.10082990770185372,0.01621034669975956,0.008006729948869093,0.0006622556067991575,0.07428002076260821,0.018053923118686945
Delaware,Ohio,209177,0.8619829139915001,0.03905783140593851,0.07617950348269648,0.0020269914952408727,0.0005545542769998614,0.028014552269130927,0.02019820534762426
Denton,Texas,887207,0.7561561168926756,0.11024371989851298,0.09673503477767871,0.008365578720636785,0.0011913792384415363,0.19601400800489627,0.027308170472054437
Denver,Colorado,727211,0.8092149321173635,0.09760715940765473,0.040818964509612754,0.017439230154659376,0.0019677920163473873,0.29287785800819843,0.03295192179436229
Dorchester,South Carolina,162809,0.6857667573659932,0.2557413902179855,0.02095093023112973,0.007161766241424,0.0015355416469605488,0.057705655092777426,0.02884361429650695
Douglas,Georgia,146343,0.45390623398454316,0.49691478239478487,0.016474993679233035,0.005029280525887811,0.001708315396021675,0.10236909179120286,0.02596639401952946
Douglas,Nebraska,571327,0.8003140058145335,0.1146541297715669,0.04345847474388573,0.012332692136027178,0.000943417692494841,0.12942500529469114,0.028297279841491826
Durham,North Carolina,321488,0.5404649629224108,0.36881314388095354,0.054698775693027425,0.00901433334992286,0.001023366346488827,0.13663962574030758,0.025985417807196536
Eau Claire,Wisconsin,104646,0.9170441297326224,0.012260382623320529,0.04281100089826654,0.006488542323643522,0.00182520115436806,0.026575311048678402,0.019570743267778988
Ector,Texas,166223,0.9011147675111146,0.053398145864290744,0.012982559573584882,0.014775331933607262,0.0026771265107716742,0.6255933294429772,0.015052068606630851
El Dorado,California,192843,0.8863998174680958,0.010371130919971168,0.048313913390685685,0.013347645494002894,0.0022609065405537147,0.13159928024351417,0.03930658618669073
El Paso,Texas,839238,0.9184081273726881,0.03985162730953556,0.013596858102230833,0.010637030258401074,0.002240127353623168,0.8294607727486124,0.01526622960352129
Elkhart,Indiana,206341,0.8947034278209371,0.06106881327511256,0.012246717811777592,0.006465026339893671,0.0008626496915300401,0.16758666479274598,0.024653365060748954
Erie,Pennsylvania,269728,0.8742659271562463,0.07820100249139875,0.019434393166449165,0.0028028235852414285,0.0006784612646814569,0.04413334915173805,0.024617392335982917
Essex,Massachusetts,789034,0.8505919896987962,0.07144178831330462,0.03906802495202995,0.008841190620429538,0.0016944770440817506,0.22246823330807036,0.02836252937135789
Fairfax,Virginia,1147532,0.646760177493961,0.10627503198167894,0.20137564791221507,0.0053227273836372315,0.0008644639103746126,0.1651500786034725,0.03940195131813318
Fairfield,Ohio,157574,0.8675289070531941,0.0878127102186909,0.019241753081092057,0.0025765672001726173,0.0006282762384657367,0.023741226344447686,0.022211786208384633
Fairfield,Connecticut,943332,0.7835830863365177,0.12932562448851517,0.05882234462522209,0.005422269148083601,0.0010908142626350002,0.2054123044696883,0.021755861139026344
Florence,South Carolina,138293,0.5327890782613726,0.4315981286109926,0.016103490415277706,0.004353076439154549,0.0010701915498253708,0.02812145227885721,0.014086034723377177
Forsyth,Georgia,244252,0.776153317065981,0.0436475443394527,0.15548286196223574,0.00489658221836464,0.000687814224653227,0.0966460868283576,0.019131880189312677
Franklin,Ohio,1316756,0.6679696162386957,0.23793853986615593,0.057250546038901666,0.0031076372539787173,0.0005460389016643934,0.05781101434130545,0.0331876217006036
Franklin,Pennsylvania,155027,0.9226844356144414,0.04161855676753082,0.01090777735491237,0.0033284524631193276,0.0006192469698826656,0.06097647506563373,0.020841530830113465
Franklin,Missouri,103967,0.9653447728606193,0.009974318774226438,0.005511364182865717,0.004174401492781363,0.000644435253493897,0.018621293294987833,0.014350707436013351
Frederick,Maryland,259547,0.8067556165164691,0.10662808662785546,0.049563277556666036,0.005054961143839074,0.0008861593468620327,0.10543755080967994,0.031111898808308322
Fresno,California,999101,0.7658905355914968,0.05802816732242286,0.1114531964235848,0.02975174682039153,0.0028175329621329577,0.5376633593600647,0.03205882087997109
Galveston,Texas,342139,0.8025539327583233,0.13232633520294385,0.034871791874062884,0.008063973998871803,0.0010580495061948507,0.25385004340341205,0.02112591665960326
Gaston,North Carolina,224529,0.7762783426639766,0.1791438967794806,0.016274067047018424,0.005941326064784504,0.0006903339880371801,0.0757764030481586,0.021672033456702697
Genesee,Michigan,405813,0.752994605889905,0.20287176605973686,0.010270740464203955,0.005657778336327323,0.0002661324304544211,0.03570363689679729,0.02793897681937247
Greenville,South Carolina,523542,0.7628366014569987,0.18447994621252928,0.026964407822104054,0.0049356116605735545,0.0008232386322396293,0.09510602778764646,0.019960194215554818
Hamilton,Ohio,817473,0.6760871612885074,0.2656075491178302,0.029147140027866364,0.0025297471598450345,0.0011034003569536854,0.03556570064087743,0.025525002048997335
Hamilton,Indiana,338011,0.8656670936744663,0.04536242903337465,0.06498309226622802,0.002212945732535332,0.00044081405634727866,0.04274121256408815,0.021333625237048497
Hampden,Massachusetts,466372,0.8263853747652089,0.10885087440926985,0.027338691002032713,0.00778563035516712,0.0018182909780175482,0.263334848575815,0.027821138490303876
Hanover,Virginia,107766,0.8595753762782324,0.0952433977321233,0.019430989365848226,0.005020136221071581,0.0006217174247907504,0.03105803314589017,0.020108382977933673
Hardin,Kentucky,110958,0.804908163449233,0.12657942644964762,0.022513022945619063,0.004677445519926458,0.0030461976603759983,0.05849060004686458,0.03827574397519782
Hartford,Connecticut,891720,0.7478345220472794,0.15825259049925985,0.06061543982416005,0.005686762660924954,0.0012201139371103037,0.1875869106894541,0.02639057103126542
Henderson,North Carolina,117417,0.925343008252638,0.03416881712188184,0.01277498147627686,0.006941073268777093,0.002188780159602102,0.10336663345171483,0.01858333972082407
Henrico,Virginia,330818,0.5701533773857529,0.3087347121377918,0.09114377089517499,0.003500414124987153,0.000695246328797103,0.05965213501079143,0.025772479127496084
Hernando,Florida,193920,0.8963593234323433,0.0607621699669967,0.014330651815181518,0.0050587871287128714,0.0009797854785478547,0.14839108910891088,0.02250928217821782
Hidalgo,Texas,868707,0.969750445201892,0.008917851473511783,0.010450013640962949,0.0053965261014358125,0.00046390785385636355,0.9248860663031379,0.005021255728341086
Hillsborough,New Hampshire,417025,0.8990204424195192,0.03172711468137402,0.044565673520772134,0.0031508902343984173,0.0006594328877165637,0.07282297224387027,0.02087644625621965
Houston,Alabama,105882,0.6882378496817212,0.2736631344326703,0.010738369127897093,0.005421129181541716,0.0009161141648249938,0.03429289208741807,0.021023403411344704
