nationality,total_population,total_population_MOE_Appx,percentage
Barbados,466,529.9795589812242,0.011418613221675958
Cuba,1977,1091.544927804085,0.048443344075651006
Dominica,86,227.67869716976367,0.0021072977190217433
Dominican Republic,6505,1979.6041837717935,0.15939501932833072
Grenada,126,275.5863523707266,0.0030874361929853445
Haiti,1462,938.688441753786,0.03582406122336964
Jamaica,4098,1571.3940961622966,0.10041518665757099
St. Kitts-Nevis,129,278.8478073101833,0.003160946578532615
St Lucia,43,160.99344478690813,0.0010536488595108717
St Vincent & the Grenadines,9,73.65391687166596,0.00022053115664181036
Trinidad & Tobago,1430,928.3599430667304,0.035039950444198754
West Indies,247,385.8501542806776,0.00605235507672524
"Caribbean, n.o.s",262,397.39332729967725,0.00641990700446159
Argentina,883,729.5227151301154,0.021636556812746503
Bolivia,138,288.4109571372639,0.003381477735174425
Brazil,4494,1645.5397040674995,0.11011855754981063
Chile,788,689.1651834548491,0.01930872793708295
Colombia,3835,1520.1508198323606,0.0939707761912603
Ecuador,1662,1000.8283603436424,0.04072475359318765
Guyana,1212,854.6803256449098,0.02969819576109713
Paraguay,64,196.40998608431116,0.0015682215583417626
Peru,4586,1662.2914025890786,0.11237287603992692
Uruguay,232,373.9508035676836,0.005684803148988889
Venezuela,3097,1366.118008071532,0.07588722134663185
South America,126,275.5863523707266,0.0030874361929853445
"Americas, n.o.s",180,329.3879370746761,0.004410623132836207
Algeria,2224,1157.7135461369708,0.054495699152376245
Cameroon,2155,1139.6162516700433,0.05280496028478904
Cabo Verde,40,155.27588611891852,0.0009801384739636016
Congo,1374,910.0028953970184,0.033667756580649716
Egypt,4347,1618.4130238266057,0.1065165486579944
Ethiopia,8468,2258.4417731914536,0.20749531493809448
Eritrea,2348,1189.5439200127405,0.05753412842166341
Gambia,879,727.868590173699,0.021538542965350144
Ghana,10535,2518.822579757837,0.25814397058016353
Guinea,1441,931.9232824140907,0.035309488524538746
Ivory Coast,1283,879.3553598455663,0.03143794155238252
Kenya,3423,1436.20041192628,0.08387534990943521
Liberia,2286,1173.7367222401165,0.05601491378701984
Libya,864,721.6318434498023,0.021170991037613794
Morocco,3044,1354.3811965678171,0.07458853786863008
Nigeria,6978,2050.271919128697,0.1709851567829503
Rwanda,766,679.4773914020082,0.01876965177640297
Senegal,1740,1024.040843271907,0.04263602361741667
Sierra Leone,2596,1250.7750311068085,0.06361098696023774
Somalia,12668,2761.8172889272705,0.3104098547042726
South Africa,2331,1185.2306826376257,0.05711756957022888
Sudan,2292,1175.275750129639,0.05616193455811437
Tanzania,1651,997.5113209626652,0.040455215512847656
Togo,690,644.891382459726,0.016907388675872128
Tunisia,120,268.94480993344735,0.002940415421890805
Uganda,277,408.6105096061205,0.006787458932197941
Democratic Republic of Congo (Zaire),2202,1151.9742905374044,0.05395662299169626
Zambia,225,368.2662051239878,0.005513278916045259
Zimbabwe,942,753.4992598816278,0.02308226106184282
Africa,6674,2005.139969168004,0.1635361043808269
"Eastern Africa, n.o.s",310,432.2648144276513,0.007596073173217912
"Western Africa, n.o.s",3517,1455.7809995667185,0.08617867532324967
"Other Africa, n.o.s",296,422.39148348000623,0.007253024707330652
"Eastern Africa, n.o.s",899,736.1020342454497,0.022028612202331946
Australia,1959,1086.5652996851345,0.048002281762367385
Fiji,161,311.5191335853805,0.003945057357703496
Marshall Islands,223,366.6258441317448,0.005464271992347079
Micronesia,467,530.5478792959494,0.011443116683525047
New Zealand,449,520.2231149992003,0.011002054370241427
Tonga,41,157.20484639652057,0.0010046419358126916
Samoa,11,81.42746194950854,0.0002695380803399904
"Other U.S. Island Areas, Oceania, n.o.s",308,430.8681920881488,0.007547066249519733
Albania,2157,1140.1440092973926,0.05285396720848722
Austria,1738,1023.451619140565,0.04258701669371849
Belgium,365,469.04488271318326,0.008943763574917865
Bulgaria,1103,815.3461020705442,0.027027318419546316
Czechoslovakia,733,664.6807673031226,0.017961037535382997
Denmark,653,627.3634364521453,0.016000760587455795
Finland,402,492.2438607051946,0.009850391663334197
France,2832,1306.3775385940232,0.06939380395662299
Germany,15067,3011.672492014565,0.36919365968023965
Greece,2770,1292.0017982201475,0.0678745893219794
Hungary,2470,1220.0490501011109,0.0605235507672524
Iceland,77,215.43620446290825,0.0018867665623799332
Ireland,1383,912.9776056583188,0.03388828773729152
Italy,7524,2128.919151586709,0.18436404695255346
Netherlands,1931,1078.7727761535689,0.04731618483059286
Norway,286,415.1953259934877,0.007007990088839751
Poland,4323,1613.9384138205771,0.10592846557361624
