nationality,total_population,total_population_MOE_Appx,percentage
"Other Asia, n.o.s",525,562.5297560122629,0.007720391819443417
Bermuda,270,403.4150148956936,0.003970487221428043
Canada,15607,3065.274973074342,0.2295088669067684
Mexico,52695,5624.233047605152,0.7749067560487064
Belize,631,616.7067885270984,0.009279175691559612
Costa Rica,2231,1159.5425162064478,0.03280798885557764
El Salvador,8498,2262.5013710677867,0.12496740891739078
Guatemala,12828,2779.306325267982,0.1886422595425146
Honduras,9059,2335.9368079558303,0.1332171990330246
Nicaragua,1990,1095.134652218728,0.02926396137274743
Panama,1964,1087.9580900933026,0.028881618158832136
Antigua & Barbuda,672,636.4261120322416,0.009882101528887573
Bahamas,651,626.4035412495163,0.009573285856109837
Barbados,1558,969.01844151056,0.02291118181846256
Cuba,5954,1893.9918353234495,0.0875565959866021
Dominica,2003,1098.7053440075945,0.029455132979705076
Dominican Republic,72397,6587.230724055655,1.0646346791471335
Grenada,820,703.0201416809388,0.012058516746559242
Haiti,18450,3332.418949606141,0.27131662679758295
Jamaica,23634,3770.872957162743,0.34754998144900134
St. Kitts-Nevis,463,528.2717614136214,0.006808650309337718
St Lucia,346,456.6746828612239,0.0050881058467189
St Vincent & the Grenadines,896,734.8751410518362,0.013176135371850098
Trinidad & Tobago,6924,2042.376225581676,0.10182093896728803
West Indies,955,758.6827961380866,0.014043760357273264
"Caribbean, n.o.s",555,578.3780874978095,0.008161557066268756
Argentina,2987,1341.6575237180605,0.04392535307557617
Bolivia,718,657.8468431370584,0.010558554907353091
Brazil,12461,2739.3001599583235,0.18324533802301796
Chile,2234,1160.3217299775706,0.03285210538026018
Colombia,12912,2788.3820082775355,0.18987752223362553
Ecuador,6778,2020.74018566652,0.09967393476607139
Guyana,4913,1720.539882660234,0.07224816192176288
Paraguay,444,517.3193321803075,0.0065292456530150035
Peru,6994,2052.66861530116,0.10285032454321383
Uruguay,879,727.8707675896471,0.012926141731982407
Venezuela,3388,1428.857611760005,0.049822261874808184
South America,243,382.7134906267246,0.003573438499285239
"Americas, n.o.s",120,268.94491976231683,0.0017646609873013524
Algeria,1598,981.3773359777548,0.02349940214756301
Cameroon,1387,914.3015342835135,0.020396539911558133
Cabo Verde,21,112.50816711794192,0.00030881567277773667
Congo,1167,838.6685940445044,0.017161328101505655
Egypt,6238,1938.6149179486265,0.0917329603232153
Ethiopia,4035,1559.2941075532167,0.059336725698007985
Eritrea,392,486.0837909646061,0.005764559225184418
Gambia,249,387.409446518104,0.003661671548650306
Ghana,5083,1750.0422379308327,0.07474809832043978
