nationality,total_population,total_population_MOE_Appx,percentage
"Other Asia, n.o.s",516,557.6783452803292,0.007005376626560885
Bermuda,168,318.21763682158155,0.002280820297019823
Canada,40798,4944.690792656322,0.5538863480822306
Mexico,498978,16720.28387145536,6.7742806557521265
Belize,349,458.64510910320985,0.004738132640832848
Costa Rica,1344,899.9806319004673,0.018246562376158584
El Salvador,10113,2467.199876584626,0.13729723609381828
Guatemala,14722,2975.816263662886,0.19987045483765378
Honduras,3388,1428.704824234379,0.045996542656566435
Nicaragua,2398,1202.0589860518726,0.032555994477699614
Panama,1108,817.16667900696,0.015042552911297405
Antigua & Barbuda,70,205.4100231153161,0.0009503417904249263
Bahamas,382,479.8380928936628,0.005186150913461741
Barbados,797,693.073782635056,0.010820320099552375
Cuba,7933,2185.495983883784,0.10770087747772772
Dominica,36,147.30751550941025,0.0004887472065042478
Dominican Republic,1795,1040.0444919793697,0.024369478768753467
Grenada,35,145.24717932608428,0.00047517089521246315
Haiti,1659,999.8781029966606,0.022523100433070754
Jamaica,2503,1228.0849040349783,0.033981507163337005
St Lucia,168,318.21763682158155,0.002280820297019823
Trinidad & Tobago,1171,840.0734977238108,0.01589786052267984
West Indies,160,310.54879046275374,0.0021722098066855457
"Caribbean, n.o.s",117,265.5608809251443,0.0015884284211388055
Argentina,2096,1123.8441664904744,0.028455948467580653
Bolivia,534,567.3211918916554,0.00724975022981301
Brazil,3435,1438.5757617382487,0.046634629287280314
Chile,1350,901.9868978569845,0.018328020243909292
Colombia,5698,1852.5124289602904,0.077357821740589
Ecuador,1316,890.5582527595806,0.017866425659988614
Guyana,754,674.1201397924335,0.010236538714005636
Paraguay,163,313.44659825476526,0.0022129387405608997
Peru,4361,1620.8170314691451,0.05920629354347291
Uruguay,264,398.9042138184009,0.003584146181031151
Venezuela,2772,1292.368388934218,0.03763353490082708
South America,150,300.68778579038883,0.0020364466937676995
"Americas, n.o.s",114,262.1342008929568,0.0015476994872634516
Algeria,131,281.00004415073244,0.0017784967792237908
Cameroon,613,607.8356832649094,0.008322278821863998
Cabo Verde,16,98.2051490634722,0.0002172209806685546
Congo,1141,829.2444604905273,0.0154905711839263
Egypt,1609,984.6988272055346,0.02184428486848152
Ethiopia,3724,1497.8396916433787,0.05055818325060608
Eritrea,1069,802.6585169073114,0.014513076770917803
Gambia,37,149.33942874751548,0.0005023235177960324
Ghana,754,674.1201397924335,0.010236538714005636
Guinea,109,256.3212805680128,0.001479817930804528
Ivory Coast,209,354.92900430735494,0.0028374490599829944
Kenya,2822,1303.9672506502354,0.03831235046541632
Liberia,1192,847.571451154973,0.016182963059807317
Libya,164,314.4065985049208,0.0022265150518526846
Morocco,968,763.8054323838157,0.013141869330447552
Nigeria,2810,1301.192968188244,0.038149434729914895
Rwanda,1221,857.8179594370228,0.016576676087269072
Senegal,357,463.8717406230842,0.004846743131167125
Sierra Leone,671,635.9389647061709,0.009109704876787509
Somalia,1272,875.5466556949535,0.01726906796315009
South Africa,2800,1298.8765324215922,0.038013671616997056
Sudan,1382,912.6124403525978,0.0187624622052464
Tanzania,586,594.2998093816318,0.007955718416985811
Togo,266,400.4123071093461,0.0036112988036147197
Tunisia,155,305.65806061571067,0.0021043282502266223
Uganda,666,633.5653878566891,0.009041823320328586
Democratic Republic of Congo (Zaire),1194,848.2820831733345,0.016210115682390887
Zambia,407,495.2899076321304,0.005525558695756357
Zimbabwe,395,487.9341218074912,0.0053626429602549415
Africa,3118,1370.6202740747738,0.04233093860778458
"Eastern Africa, n.o.s",779,685.2035291541503,0.01057594649630025
"Western Africa, n.o.s",229,371.5228035977112,0.0031089752858186877
"Other Africa, n.o.s",344,455.3479941671503,0.004670251084373924
"Eastern Africa, n.o.s",1079,806.4034576509897,0.01464883988383565
Australia,1548,965.85681459596,0.021016129879682655
Fiji,753,673.673009790587,0.01022296240271385
Marshall Islands,615,608.8263651227742,0.008349431444447568
Micronesia,543,572.0816489507672,0.007371937031439071
New Zealand,706,652.3121266830976,0.00958487577199997
Tonga,215,359.9874774200308,0.002918906927733702
Samoa,331,446.6615844865067,0.004493759037580723
"Other U.S. Island Areas, Oceania, n.o.s",267,401.16422743119455,0.003624875114906505
American Samoa,461,527.122151511221,0.0062586795055127285
Albania,1148,831.7847463284382,0.015585605362968791
Austria,945,754.6786387151601,0.012829614170736504
Belgium,492,544.555836928686,0.006679545155558054
Bulgaria,1613,985.9232629674336,0.02189859011364866
Czechoslovakia,255,392.0460930945563,0.0034619593794050886
Denmark,861,720.3611317768409,0.011689204022226594
Finland,314,435.0408894818818,0.004262961745620384
France,3489,1449.8384439274107,0.047367750097036684
Germany,14687,2972.325030793561,0.19939528394244135
Greece,1354,903.32307360769,0.01838232548907643
Hungary,1944,1082.3408231598437,0.026392349151229382
Iceland,88,230.31033714693064,0.0011947153936770502
Ireland,1486,946.322530036078,0.020174398579592006
Italy,4580,1660.9969088715477,0.06217950571637375
Netherlands,2901,1322.089319316015,0.039384879057467306
Norway,613,607.8360312753234,0.008322278821863998
Poland,6031,1905.8415789975136,0.0818787334007533
Portugal,637,619.6196655669413,0.00864811029286683
Azores Islands,42,159.11024063735255,0.0005702050742549558
Romania,6478,1975.1453623672585,0.08794734454818104
Spain,1945,1082.6190917363774,0.026405925462521167
Sweden,1214,855.3568802951603,0.01648164190822658
Switzerland,885,730.3307805630363,0.012015035493229426
"United Kingdom, n.o.s",6720,2011.6660953825103,0.09123281188079294
England,9734,2420.614314484157,0.1321518141142319
Scotland,1376,910.6307729067968,0.018681004337495696
Northern Ireland,386,482.3438294905935,0.005240456158628879
Yugoslavia,888,731.5674291137109,0.01205576442710478
Czech Republic,619,610.8032598561646,0.008403736689614706
Slovakia,192,340.188447592443,0.002606651768022655
Bosnia and Herzegovina,3968,1546.1102247349556,0.05387080320580154
Croatia,1073,804.1593932494121,0.014567382016084943
Macedonia,144,294.6128233035486,0.0019549888260169913
Serbia,933,749.8723467295177,0.01266669843523509
Latvia,247,385.8475605550247,0.0033533488890708117
Lithuania,376,476.0551852410596,0.005104693045711033
Armenia,375,475.42174479655546,0.005091116734419248
Azerbaijan,79,218.2156595217359,0.0010725285920509884
Belarus,329,445.310308859523,0.0044666064149971535
Georgia (country),31,136.6956414364912,0.0004208656500453245
Moldova,275,407.12969662066894,0.003733485605240782
Russia,4293,1608.145063279306,0.058283104375631556
Ukraine,2069,1116.5864921200448,0.028089388062702465
USSR,378,477.3195437333095,0.005131845668294602
Europe,23,117.74378172331195,0.00031225515971104723
Kosovo,304,428.0577345162589,0.0041271986327025365
Montenegro,255,392.0460930945563,0.0034619593794050886
"Other Europe, n.o.s",451,521.3740098926393,0.006122916392594883
Afghanistan,2321,1182.6114094339384,0.0315106185082322
Bangladesh,2305,1178.529461435081,0.031293397527563646
Bhutan,490,543.4479647689253,0.006652392532974485
Myanmar,2733,1283.2516615728557,0.03710405876044748
Cambodia,1613,985.9232629674336,0.02189859011364866
China,22985,3716.2093976601823,0.31205151504167045
Cyprus,42,159.11024063735255,0.0005702050742549558
Hong Kong,2458,1217.001981967898,0.033370573155206695
India,42811,5064.688548675656,0.5812154627125932
Indonesia,1499,950.4520200092016,0.020350890626385208
Iran,6221,1935.6038536082344,0.08445823254619238
Iraq,11928,2679.1512505254523,0.16193824108840746
Israel,1941,1081.5055873775086,0.026351620217354026
Japan,5546,1827.6656852115248,0.07529422242423774
Jordan,1104,815.6913868639101,0.014988247666130265
Korea,12014,2688.776002623061,0.16310580385950094
Kazakhstan,270,403.4116799028357,0.0036656040487818586
Kyrgyzstan,61,191.75108488397916,0.0008281549887988643
Kuwait,1246,866.554859653792,0.016916083869563687
Laos,1251,868.2914897313025,0.016983965426022613
Lebanon,1561,969.9044593511204,0.021192621926475856
Malaysia,1529,959.9137575830808,0.02075817996513875
Mongolia,97,241.8007756845904,0.0013169021953031122
Nepal,1326,893.9359050127563,0.018002188772906463
Pakistan,3006,1345.7929254281064,0.04081039174310469
Philippines,31042,4316.2637656665565,0.42143585511957943
Saudi Arabia,2101,1125.1856419786973,0.028523830024039576
Singapore,632,617.1833015582923,0.008580228736407907
Sri Lanka,900,736.4932487302992,0.012218680162606195
Syria,2476,1221.448389961555,0.03361494675845882
