nationality,total_population,total_population_MOE_Appx,percentage
Peru,21964,3637.183124303581,0.059110275704061944
Uruguay,3056,1357.1518423830762,0.008224412791459357
Venezuela,58875,5951.094148977792,0.15844643425954502
South America,819,702.603886348474,0.00220412109823469
"Americas, n.o.s",1425,926.7689384798246,0.0038350092368552298
Algeria,2494,1226.03881261193,0.006711938973134698
Cameroon,16921,3192.7170324362146,0.0455383798574227
Cabo Verde,209,354.9329586461968,0.0005624680214054337
Congo,4925,1722.8236294937717,0.01325433016948211
Egypt,14388,2944.1958642026902,0.038721482736753014
Ethiopia,26142,3967.778279686088,0.07035425366306626
Eritrea,6531,1983.880273432488,0.01757645286028176
Gambia,747,671.0106905842628,0.0020103522104777945
Ghana,10743,2544.231976578115,0.028911932794060166
Guinea,311,432.9648235789821,0.0008369739457277029
Ivory Coast,3301,1410.4986809559366,0.008883765256743238
Kenya,22166,3653.8573948519215,0.059653905083602125
Liberia,5502,1820.93168755957,0.014807172506089457
Libya,2648,1263.3213214466157,0.00712638909417028
Morocco,3986,1549.9347490916718,0.010727260924985927
Nigeria,93507,7495.354529944506,0.25164926927061193
Rwanda,2461,1217.901174814539,0.006623128232912786
Senegal,1604,983.2520772940225,0.00431674022169529
Sierra Leone,3340,1418.8054960833256,0.008988723404278223
Somalia,4143,1580.1599611833497,0.011149784749678046
South Africa,10355,2497.8818397105483,0.02786773378781467
Sudan,5329,1792.0805337906768,0.014341588928562469
Tanzania,3330,1416.680189031277,0.008961811058756432
Togo,1134,826.7472407066671,0.0030518599821711093
Tunisia,830,707.3063551621536,0.0022337246783086604
Uganda,2370,1195.17389923704,0.006378225888664488
Democratic Republic of Congo (Zaire),5134,1758.992800031514,0.013816798190887544
Zambia,2093,1123.1651656276183,0.005632753917710875
Zimbabwe,4727,1687.842791885502,0.012721465728150647
Africa,12845,2781.923301885871,0.034568907822740656
"Eastern Africa, n.o.s",1570,972.7758328035912,0.0042252382469212015
"Western Africa, n.o.s",2339,1187.332269803337,0.006294797617546935
"Other Africa, n.o.s",4162,1583.7786404158146,0.01120091820616945
"Eastern Africa, n.o.s",2912,1324.7945549985898,0.007836875015945564
Australia,7343,2103.566620325937,0.019761735316651197
Fiji,488,542.3516904583724,0.001313322461463405
Marshall Islands,115,263.2829973904984,0.00030949197350059747
Micronesia,1439,931.3101346637268,0.0038726865205857375
New Zealand,1870,1061.6503139878828,0.0050326086125749335
Tonga,806,697.0055167596653,0.002169135049056362
Samoa,295,421.6805281825976,0.0007939141928928371
"Other U.S. Island Areas, Oceania, n.o.s",901,736.937022591204,0.0024248023315133773
American Samoa,849,715.3559035430378,0.0022848581348000633
Albania,2398,1202.2122885175838,0.006453580456125502
Austria,1310,888.5880579300992,0.0035255172633546325
Belgium,1964,1088.0042868272894,0.005285584660479769
