nationality,total_population,total_population_MOE_Appx,percentage
Bosnia and Herzegovina,8945,2321.197682470553,0.06227436420972196
Croatia,3816,1516.3999731098706,0.02656668237275562
Macedonia,3089,1364.3662164661305,0.02150536736096491
Serbia,7453,2118.912441421825,0.05188718126943072
Latvia,1772,1033.4187947893104,0.012336520221311046
Lithuania,10825,2553.311372520597,0.07536277166799778
Armenia,802,695.2616055924487,0.0055834589263495825
Azerbaijan,549,575.2432823085283,0.003822093454570973
Belarus,6139,1923.174613526602,0.0427392198863592
Georgia (country),404,493.4674853203645,0.0028126152197571457
Moldova,4416,1631.2249978165316,0.030743833689226625
Russia,17173,3215.1733330585844,0.11955703259626106
Ukraine,25432,3911.3825360957994,0.17705552046748452
USSR,3618,1476.5469077650696,0.025188222438320182
Europe,1332,895.9919834697196,0.00927327592256564
Kosovo,653,627.3648726271471,0.004546133016092615
Montenegro,840,711.5412083291881,0.005848011843059412
"Other Europe, n.o.s",1431,928.688649734117,0.009962505889783356
Afghanistan,1359,905.0264643849166,0.009461247731806835
Bangladesh,2438,1212.132156837694,0.016973158182593866
Bhutan,1660,1000.2313303216456,0.011556785308903125
Myanmar,4748,1691.4104892934786,0.033055190751007255
Cambodia,2458,1217.0928746180784,0.01711239655980957
China,75286,6716.490890872778,0.5241350233530606
Hong Kong,4758,1693.1900684740926,0.0331248099396151
India,158225,9704.952971327788,1.101549611747709
Indonesia,1532,960.8995246802756,0.010665659694722641
Iran,6915,2041.0457283873325,0.04814166892232838
Iraq,13069,2805.256972109063,0.09098531759159935
Israel,4879,1714.5763760568263,0.03396720212177009
Japan,10565,2522.48749187513,0.07355267276419368
Jordan,8966,2323.9188798929627,0.06242056450579844
Korea,38739,4824.87899854597,0.2696977747479507
Kazakhstan,1566,971.5024364140312,0.010902364935989334
Kyrgyzstan,1413,922.830010073576,0.009837191350289227
Kuwait,1884,1065.5725726003595,0.013116255133718968
Laos,3112,1369.4349399116395,0.021665491494762965
Lebanon,3231,1395.3657428308657,0.022493959839196383
Malaysia,3073,1360.8290021001574,0.02139397665919235
Mongolia,2321,1182.6948093119315,0.01615861367588202
Nepal,3255,1400.537249481979,0.022661045891855223
Pakistan,30785,4302.471488007821,0.2143226721292667
Philippines,89324,7311.864229433428,0.6218664403207607
Saudi Arabia,4475,1642.0820275264032,0.031154586902012938
Singapore,1233,862.0555269656458,0.008584045955347923
Sri Lanka,1167,838.6683572514224,0.008124559310536112
Syria,6781,2021.1837800370795,0.04720877179498319
Taiwan,7724,2157.068577641712,0.05377386128070345
Thailand,6996,2052.958447263848,0.04870558435005196
Turkey,4124,1576.3899308090458,0.028710953381877402
United Arab Emirates,989,772.0688223540085,0.00688533775331638
Uzbekistan,1734,1022.2795958236724,0.012071967304601215
Vietnam,24253,3819.820374340408,0.16884741813061896
Yemen,1369,908.3497557701749,0.009530866920414684
Asia,8698,2288.947745799709,0.06055477025110806
"South Central Asia, n.o.s",954,758.2853305937027,0.006641670593188905
"Other Asia, n.o.s",1368,908.0179742038612,0.0095239050015539
Bermuda,69,203.93798583031744,0.000480372401394166
Canada,19215,3400.686367525183,0.13377327090998406
Mexico,628401,18975.27594990689,4.3748767740361645
Belize,4654,1674.5898697391374,0.03240077037809346
Costa Rica,1350,902.0250292080456,0.009398590462059769
El Salvador,10644,2531.893031532561,0.0741026643541957
Guatemala,23216,3737.4177722796057,0.1616279082719849
Honduras,10740,2543.275575433438,0.07477100856483106
Nicaragua,1675,1004.7396921198338,0.0116612140918149
Panama,1680,1006.2379883020934,0.011696023686118825
Antigua & Barbuda,37,149.33960175017367,0.00025759099784904556
Bahamas,381,479.21537154375807,0.002652491085959091
Barbados,458,525.4116237096555,0.0031885588382395366
Cuba,7405,2112.082129370376,0.05155300916411304
Dominica,225,368.2664670596052,0.0015664317436766284
Dominican Republic,3807,1514.6112461332782,0.026504025103008554
Grenada,205,351.51850170324565,0.001427193366460928
Haiti,4211,1592.9254771874428,0.029316640322765698
Jamaica,7491,2124.304160180169,0.05215173418614055
St. Kitts-Nevis,13,88.52097990235028,9.05049451902052e-05
St Lucia,136,286.3135424830748,0.000946820965066762
St Vincent & the Grenadines,57,185.35794806484904,0.0003968293750647459
Trinidad & Tobago,1692,1009.8248243468536,0.011779566712448244
West Indies,308,430.8686116039551,0.0021442710091217846
"Caribbean, n.o.s",308,430.8686116039551,0.0021442710091217846
Argentina,4280,1605.9186567162355,0.029797012724159865
Bolivia,1595,980.4554470708592,0.0111042605829521
Brazil,7349,2104.085342786967,0.05116314170790907
Chile,1803,1042.4178295040497,0.012552339705995381
Colombia,14686,2973.5523623790277,0.10224274038948875
Ecuador,15752,3079.4521120390173,0.10966414589508557
Guyana,1148,831.8137556627839,0.007992282852181197
Paraguay,411,497.7240783037121,0.002861348651782641
Peru,7988,2193.5994926832277,0.0556118078599507
Uruguay,534,567.3306776911794,0.0037176646716591977
Venezuela,6194,1931.7661943539752,0.04312212542370238
South America,606,604.3669713614894,0.0042189228296357194
"Americas, n.o.s",271,404.1613469979187,0.001886680011272739
Algeria,2122,1130.8661617480554,0.014773191822585801
Cameroon,1673,1004.1397473384674,0.011647290254093329
Cabo Verde,12,85.04820985278515,8.354302632942018e-05
Congo,1426,927.0649653253544,0.009927696295479432
Egypt,5743,1860.141895800608,0.039982300017488336
Ethiopia,4380,1624.5646767799894,0.030493204610238363
Eritrea,935,750.6968559809792,0.006509394134833989
Gambia,144,294.6141119829916,0.0010025163159530421
Ghana,5836,1875.1357725746575,0.04062975847154135
Ivory Coast,519,559.306124163894,0.0036132358887474227
Kenya,2116,1129.2665224397929,0.014731420309421091
Liberia,1096,812.7581237599331,0.0076302630714203765
Libya,276,407.87265182582166,0.001921489605576664
Morocco,3754,1504.0344303480338,0.02613504340338695
Nigeria,17936,3285.7238216157616,0.12486897668704001
Rwanda,344,455.3528986721736,0.002394900088110045
Senegal,672,636.4260085637286,0.00467840947444753
Sierra Leone,141,291.5290968354301,0.0009816305593706872
Somalia,1478,943.8146955209824,0.010289716076240253
South Africa,2600,1251.7483547590523,0.01810098903804104
Sudan,935,750.6968559809792,0.006509394134833989
Tanzania,905,738.5562768590702,0.006300536569010439
Togo,1684,1007.4350200090986,0.011723871361561965
Tunisia,284,413.7414945325963,0.0019771849564629443
Uganda,1018,783.3056571524405,0.007087233400279146
Democratic Republic of Congo (Zaire),4204,1591.601394377809,0.029267906890740204
Zambia,925,746.6719363701775,0.006439774946226139
Zimbabwe,351,459.9623910727992,0.0024436335201355403
Africa,6247,1940.0092857841971,0.043491107123323984
"Eastern Africa, n.o.s",68,202.4547887549264,0.000473410482533381
"Northern Africa, n.o.s",97,241.80148813993927,0.0006753061294961465
"Western Africa, n.o.s",941,753.1014795094558,0.006551165647998699
"Other Africa, n.o.s",532,566.2673085852089,0.0037037408339376282
"Eastern Africa, n.o.s",842,712.3877215596387,0.005861935680780982
Australia,2716,1279.361439589809,0.0189085716258921
Fiji,235,376.36105457459934,0.0016360509322844784
Marshall Islands,78,216.8306781129064,0.0005430296711412312
Micronesia,176,325.7077459728281,0.0012252977194981626
New Zealand,881,728.6981516800804,0.006133450516351598
Samoa,101,246.73668231454312,0.0007031538049392864
"Other U.S. Island Areas, Oceania, n.o.s",316,436.4282992503088,0.002199966360008065
American Samoa,23,117.7438644377198,0.00016012413379805533
Albania,5250,1778.5460847077063,0.036550074019121324
Austria,2664,1267.058207577756,0.01854655184513128
Belgium,1009,779.8358285439502,0.00702457613053208
Bulgaria,12977,2795.381859485644,0.09034482105640713
Czechoslovakia,869,723.7188263003756,0.0060499074900221776
Denmark,848,714.921347400737,0.005903707193945692
Finland,611,606.8550555539042,0.004253732423939644
France,4756,1692.835653206931,0.03311088610189353
Germany,20252,3491.1144522313343,0.14099278076861813
Greece,13313,2831.302269578047,0.0926840257936309
Hungary,2362,1193.0936628965933,0.016444052349174204
Iceland,55,182.0770331558609,0.0003829055373431758
Ireland,7797,2167.2345114321074,0.054282081357540764
Italy,18916,3374.174445692044,0.13169165717060935
Netherlands,2676,1269.9081390686677,0.0186300948714607
Norway,676,638.3172952756846,0.00470625714989067
Poland,130079,8809.579822540827,0.905599443492054
Portugal,590,596.3355937938985,0.004107532127863159
Romania,16146,3117.6870440420644,0.11240714192623485
Spain,3407,1432.8571206863007,0.023719257558694546
Sweden,885,730.3505240879535,0.006161298191794737
Switzerland,912,741.406979209468,0.006349270001035934
"United Kingdom, n.o.s",9012,2329.871984526068,0.06274081277339456
