nationality,total_population,total_population_MOE_Appx,percentage
Bahamas,99,244.28070894399056,0.0036551448378832497
Barbados,377,476.6869994924753,0.01391908690789884
Cuba,1911,1073.108485127869,0.07055537156762516
Dominica,112,259.8245403303323,0.004135113351948727
Dominican Republic,2093,1123.0317741398617,0.07727493076454185
Grenada,184,333.0257016343377,0.006793400506772909
Haiti,2991,1342.414834047026,0.11042967888998789
Jamaica,1614,986.2218168603828,0.05958993705397542
St. Kitts-Nevis,152,302.68553268935966,0.005611939549073273
St Lucia,18,104.16226913054103,0.0006645717887060455
St Vincent & the Grenadines,27,127.5721198786292,0.0009968576830590684
Trinidad & Tobago,396,488.55067139433766,0.014620579351532999
West Indies,121,270.0620450084565,0.00446739924630175
"Caribbean, n.o.s",131,280.9999178883776,0.004836605795582887
Argentina,900,736.4903557977871,0.033228589435302276
Bolivia,199,346.3338144916944,0.007347210330694615
Brazil,2685,1271.922140717759,0.09913195848198512
Chile,735,665.5716067024167,0.027136681372163525
Colombia,3026,1350.2428048030026,0.11172190181247188
Ecuador,671,635.9375009535395,0.02477375945676425
Guyana,338,451.35913573050885,0.01247918136570241
Paraguay,49,171.85858141165485,0.0018091120914775682
Peru,2429,1209.7910761106818,0.08968027082038803
Uruguay,134,284.1991978895253,0.004947367760367228
Venezuela,5987,1898.8328609258317,0.22104396105461632
"Americas, n.o.s",54,180.413861354413,0.0019937153661181367
Algeria,561,581.4845027439228,0.02071248741467175
Cameroon,494,545.6602827398424,0.01823880353448814
Cabo Verde,30,134.4727917071296,0.0011076196478434091
Congo,595,598.8445525881083,0.021967789682227616
Egypt,2105,1126.2455651091277,0.07771797862367921
Ethiopia,1728,1020.4483832417828,0.06379889171578038
Eritrea,700,649.5330633505015,0.025844458449679544
Ghana,2058,1113.6051766789883,0.07598270784205786
Guinea,170,320.10595349615056,0.006276511337779319
Ivory Coast,402,492.2376798401828,0.014842103281101682
Kenya,2613,1254.7592438032598,0.09647367132716095
Liberia,380,478.57976757695127,0.014029848872683184
Libya,42,159.11021147505824,0.0015506675069807728
Morocco,258,394.3449769304661,0.009525528971453319
Nigeria,12055,2693.2104288565374,0.4450784951584099
Rwanda,167,317.26898764395946,0.0061657493729949785
Senegal,494,545.6602827398424,0.01823880353448814
Sierra Leone,284,413.7374124592964,0.010485465999584274
Somalia,192,340.1881625534478,0.007088765746197818
South Africa,1548,965.8516851802012,0.05715317382871991
Sudan,767,679.9042716747671,0.028318142329863162
Tanzania,94,238.03217340244396,0.003470541563242682
Togo,1146,831.0558383700796,0.04231107054761823
Tunisia,58,186.9764414194368,0.002141397985830591
Uganda,64,196.4095891360962,0.002362921915399273
Democratic Republic of Congo (Zaire),320,439.1768659836862,0.011814609576996364
Zambia,526,563.0548607592216,0.019420264492187773
Zimbabwe,780,685.641301996257,0.02879811084392864
Africa,2438,1212.0294718676284,0.09001255671474105
"Eastern Africa, n.o.s",25,122.75634777094766,0.0009230163732028409
"Western Africa, n.o.s",1285,880.0046932588893,0.04744304158262603
"Other Africa, n.o.s",455,523.6797999362832,0.016798897992291704
"Eastern Africa, n.o.s",697,648.1398563244903,0.025733696484895208
Australia,825,705.139748396975,0.030459540315693753
Fiji,32,138.88288150867453,0.0011814609576996365
Marshall Islands,349,458.644560053165,0.01288530856991166
New Zealand,421,503.7351602500258,0.015543595724735841
Samoa,10,77.63801748750349,0.0003692065492811364
"Other U.S. Island Areas, Oceania, n.o.s",34,143.1571763082354,0.0012553022675558638
American Samoa,16,98.20514272793896,0.0005907304788498182
Albania,160,310.5485901135057,0.005907304788498182
Austria,297,423.1003190658823,0.01096543451364975
Belgium,234,375.5563415330324,0.008639433253178593
Bulgaria,1082,807.5200276549256,0.03994814863221896
Czechoslovakia,145,295.6337811755256,0.005353494964576477
Denmark,212,357.4668842027142,0.007827178844760092
Finland,130,279.92534329648146,0.004799685140654773
France,1121,821.9420768010028,0.041388054174415385
Germany,7102,2067.9245426720977,0.26221049129946306
Greece,1520,957.0778402978136,0.056119395490732735
Hungary,340,452.6923884592037,0.012553022675558637
Iceland,5,54.89838880673703,0.0001846032746405682
Ireland,825,705.1393980785773,0.030459540315693753
Italy,1421,925.3919488104412,0.05246425065284948
Netherlands,686,643.0053283145808,0.02532756928068596
Norway,126,275.5852349306718,0.0046520025209423185
Poland,2341,1187.6802787108468,0.08643125318671403
Portugal,83,223.67173859969807,0.003064414359033432
Azores Islands,12,85.04817378401408,0.00044304785913736364
Romania,1274,876.2300824723336,0.047036914378416776
Spain,2074,1117.9229569842744,0.07657343832090768
Sweden,94,238.03215992988183,0.003470541563242682
Switzerland,232,373.9480116469063,0.008565591943322364
"United Kingdom, n.o.s",2147,1137.4207663184902,0.07926864613065998
England,2928,1328.205680968691,0.10810367762951673
Scotland,689,644.4096384819421,0.025438331245470295
Northern Ireland,28,129.9130761683866,0.0010337783379871818
Yugoslavia,765,679.0170345896054,0.02824430102000693
Czech Republic,134,284.1991749588469,0.004947367760367228
Slovakia,93,236.76266370236425,0.0034336209083145686
Bosnia and Herzegovina,1469,940.8881933874314,0.05423644208939894
Croatia,1139,828.513683272507,0.04205262596312143
Macedonia,1194,848.2779985984903,0.04408326198416768
Serbia,609,605.847970197577,0.022484678851221206
