cuisine,name
Peruvian,Kaiso Japanese and Thai Cuisine
Peruvian,19 Okanagan Grill + Bar
Peruvian,SUYO Modern Peruvian
Peruvian,Mucho Burrito Fresh Mexican Grill
Peruvian,Angel Share
Salvadorian,El Salvador Bar & Grill
Cuban,Soul de Cuba Cafe
Tibetan,TAAZ RESTAURANT
Tibetan,Shambhu's Spice House Cuisine of India | Indian Restaurant in Kelowna
Tibetan,Everest Indian Restaurant
Tibetan,Humo Izakaya
Tibetan,Mad Mango Cafe
Tibetan,Habibi Tapas Grill
Tibetan,The Orient Restaurant
Tibetan,Mon Thong Thai Restaurant
Tibetan,Bamboo Chopsticks Restaurant Express
Tibetan,JOEY Kelowna
Tibetan,Leopold's Tavern Kelowna - Bernard
Tibetan,Maestro's Mediterranean Restaurant and Terrace
Tibetan,Pepper Pot Grill
Tibetan,Bamboo Chopsticks Vietnamese Restaurant
Tibetan,Pacific Poke
Egyptian,Habibi Tapas Grill
Egyptian,Basha Donair & Shawarma Kelowna
Egyptian,TAAZ RESTAURANT
Egyptian,Yamas Taverna
Egyptian,Olympia Greek Taverna
Egyptian,USTAAD G76 KELOWNA
Egyptian,Subcity Donair - Bernard Ave
Egyptian,Pita Land Shawarma - Kelowna (Opening Soon)
Egyptian,Maestro's Mediterranean Restaurant and Terrace
Egyptian,Erica Jane Restaurant
Egyptian,Humo Izakaya
Egyptian,IN N OUT ARABIC MARKET
Egyptian,Salt & Brick
Egyptian,Tutt Street Tapas + Wine
Egyptian,Lakeside Dining Room
Egyptian,SubCity Donair KLO
Egyptian,Pita Pit
Egyptian,Ricky's All Day Grill - Kelowna
Egyptian,Okanagan Turkish Bites
Greek,Olympia Greek Taverna
Greek,Yamas Taverna
Greek,Maestro's Mediterranean Restaurant and Terrace
Greek,OPA! of Greece Orchard Park
Greek,OPA! of Greece Central Park
Greek,Habibi Tapas Grill
Greek,Tutt Street Tapas + Wine
Greek,Pita Pit
Greek,Opa! Of Greece Snyatan Shopping Centre
Belgian,Bouchons Bistro
Belgian,Leopold's Tavern Kelowna - Bernard
Belgian,Train Station Pub
Belgian,Earls Kitchen + Bar
Belgian,Salt & Brick
Belgian,CRAFT Beer Market Kelowna
Belgian,Okanagan Street Food
Belgian,Bohemian Café & Catering Co.
Belgian,BNA Brewing Co.
Belgian,The Jammery
Belgian,Little Hobo Soup & Sandwich Shop
Belgian,Central Kitchen + Bar
Belgian,Pulp Fiction Coffee House - Robbie Rare Books
Belgian,Old Vines Restaurant @ Quails' Gate Winery
Belgian,Basil & Mint
Belgian,OEB Breakfast Co.
Belgian,Gulfstream
Belgian,Krafty Kitchen + Bar
Belgian,Habibi Tapas Grill
Belgian,The Jammery
Irish,O'Flannigan's Pub
Irish,Kelly O'Bryan's Neighborhood Restaurant
Irish,Kelly O'Bryan's Restaurant and Carlos O'Bryan's Pub
Welsh,Earls Kitchen + Bar
Cajun,West Coast Grill & Oyster Bar Kelowna
Cajun,Broken Anchor Cafe and Catering
Cajun,Bouchons Bistro
Cajun,Erica Jane Restaurant
Cajun,Train Station Pub
Cajun,Okanagan Street Food
Cajun,The Jammery
Cajun,Earls Kitchen + Bar
Cajun,PNB - Pretty Not Bad
Cajun,Little Hobo Soup & Sandwich Shop
Cajun,Central Kitchen + Bar
Cajun,Kelly O'Bryan's Neighborhood Restaurant
Cajun,Social 242 Lounge & Grill
Cajun,Salt & Brick
Cajun,Kettle Valley Public On Main Bar & Grill
Cajun,Veerji Fish 'n' Grill
Cajun,Sammy J's Grill and Bar West Kelowna
Cajun,Smitty's Family Restaurant - Kelowna
Cajun,Original Joe's
Cajun,Cactus Club Cafe Kelowna Yacht Club
Portuguese,Barcelos Flame Grilled Chicken- Kelowna
Turkish,Turkish Baklava
Turkish,Okanagan Turkish Bites
Turkish,Pita Land Shawarma - Kelowna (Opening Soon)
Haitian,The House of the Caribbean
Tahitian,TAAZ RESTAURANT
Tahitian,Habibi Tapas Grill
Tahitian,Mad Mango Cafe
Tahitian,King Taps Kelowna Lakeside
Tahitian,Frankie We Salute You!
Tahitian,Little Hobo Soup & Sandwich Shop
Tahitian,O-Machi Taiwanese Appetizer Bento House
Tahitian,Krafty Kitchen + Bar
Tahitian,Erica Jane Restaurant
Tahitian,Chaitainment
Tahitian,Hector's Casa
Tahitian,Lakeside Dining Room
Tahitian,La Bussola Restaurant
Tahitian,Salt & Brick
Tahitian,Maestro's Mediterranean Restaurant and Terrace
Tahitian,JOEY Kelowna
Tahitian,Waterfront Wines Restaurant
Tahitian,Browns Socialhouse Harvey
Tahitian,The Placery Bistro and Bar
Tahitian,Okanagan Street Food
Kenyan,The House of the Caribbean
Kenyan,Eye Tasty Food
Kenyan,TAAZ RESTAURANT
Kenyan,USTAAD G76 KELOWNA
Kenyan,Habibi Tapas Grill
Kenyan,Yamas Taverna
Kenyan,Frankie We Salute You!
Kenyan,Bouchons Bistro
Kenyan,Soul de Cuba Cafe
Kenyan,Maestro's Mediterranean Restaurant and Terrace
Kenyan,Salt & Brick
Kenyan,Barcelos Flame Grilled Chicken- Kelowna
Kenyan,Mad Mango Cafe
Kenyan,Krafty Kitchen + Bar
Korean,Bon Ga Korean Cuisine
Korean,Soban Korean Bistro
Korean,Chicko Chicken
Korean,Kimbap & Sushi
Korean,Zen Sushi and Korean Cuisine
Korean,Gather Restaurant
Korean,Soy Asian Fusion Restaurant
Korean,J's Cafe & Bistro
Algerian,Habibi Tapas Grill
Nigerian,The House of the Caribbean
Libyan,Habibi Tapas Grill
Libyan,Subcity Donair - Bernard Ave
Libyan,Basha Donair & Shawarma Kelowna
Libyan,Yamas Taverna
Libyan,Maestro's Mediterranean Restaurant and Terrace
Libyan,Tutt Street Tapas + Wine
Libyan,Olympia Greek Taverna
Libyan,Basil & Mint
Libyan,SubCity Donair KLO
Libyan,Salt & Brick
Libyan,IN N OUT ARABIC MARKET
Libyan,Hidden Gem
Libyan,Humo Izakaya
Libyan,Okanagan Street Food
Libyan,JOEY Kelowna
Moroccan,Habibi Tapas Grill
Lebanese,Habibi Tapas Grill
Lebanese,Basha Donair & Shawarma Kelowna
Lebanese,Maestro's Mediterranean Restaurant and Terrace
Lebanese,Yamas Taverna
Lebanese,IN N OUT ARABIC MARKET
Lebanese,Mediterranean Market
Lebanese,Olympia Greek Taverna
Lebanese,Farah Middle Eastern Foods.
Lebanese,Subcity Donair - Bernard Ave
Lebanese,Pita Land Shawarma - Kelowna (Opening Soon)
Lebanese,Tutt Street Tapas + Wine
