ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
1,"Black or African American Alone",1,"Hispanic or Latino",2014,"2014",4764,"New York, NY","16000US3651000","new-york-ny",181046,0.021669468020460835
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2014,"2014",1027,"New York, NY","16000US3651000","new-york-ny",15951,0.0019091815582469138
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2014,"2014",1853,"New York, NY","16000US3651000","new-york-ny",16936,0.0020270766014964412
3,"Asian Alone",0,"Not Hispanic or Latino",2014,"2014",3421,"New York, NY","16000US3651000","new-york-ny",1098961,0.13153508083710028
3,"Asian Alone",1,"Hispanic or Latino",2014,"2014",893.9999999999999,"New York, NY","16000US3651000","new-york-ny",8028,0.0009608745250834571
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2014,"2014",461.00000000000006,"New York, NY","16000US3651000","new-york-ny",2363,0.00028282841339962746
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2014,"2014",408,"New York, NY","16000US3651000","new-york-ny",1209,0.00014470569267886144
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2014,"2014",3342,"New York, NY","16000US3651000","new-york-ny",68656,0.008217464050090911
5,"Some Other Race Alone",1,"Hispanic or Latino",2014,"2014",13797,"New York, NY","16000US3651000","new-york-ny",1163320,0.1392382352416651
6,"Two or More Races",0,"Not Hispanic or Latino",2014,"2014",3948.7843699042364,"New York, NY","16000US3651000","new-york-ny",139231,0.01666461397631973
6,"Two or More Races",1,"Hispanic or Latino",2014,"2014",4568.773358353421,"New York, NY","16000US3651000","new-york-ny",125765,0.015052863060179495
0,"White Alone",0,"Not Hispanic or Latino",2013,"2013",1635,"New York, NY","16000US3651000","new-york-ny",2734318,0.33067097964336434
0,"White Alone",1,"Hispanic or Latino",2013,"2013",11407,"New York, NY","16000US3651000","new-york-ny",924837,0.11184388823846755
1,"Black or African American Alone",0,"Not Hispanic or Latino",2013,"2013",3223,"New York, NY","16000US3651000","new-york-ny",1877183,0.22701453948658115
1,"Black or African American Alone",1,"Hispanic or Latino",2013,"2013",5604,"New York, NY","16000US3651000","new-york-ny",180043,0.021773252119150092
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2013,"2013",983,"New York, NY","16000US3651000","new-york-ny",15667,0.0018946670570403987
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2013,"2013",1664,"New York, NY","16000US3651000","new-york-ny",16754,0.002026121904235325
3,"Asian Alone",0,"Not Hispanic or Latino",2013,"2013",3129,"New York, NY","16000US3651000","new-york-ny",1069960,0.1293941382747779
3,"Asian Alone",1,"Hispanic or Latino",2013,"2013",1094,"New York, NY","16000US3651000","new-york-ny",7594,0.0009183699260333687
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2013,"2013",496,"New York, NY","16000US3651000","new-york-ny",3212,0.00038843879410313146
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2013,"2013",426,"New York, NY","16000US3651000","new-york-ny",1191,0.00014403194389066924
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2013,"2013",2734,"New York, NY","16000US3651000","new-york-ny",66078,0.007991051879435468
5,"Some Other Race Alone",1,"Hispanic or Latino",2013,"2013",13660.999999999998,"New York, NY","16000US3651000","new-york-ny",1123277,0.1358419562029213
6,"Two or More Races",0,"Not Hispanic or Latino",2013,"2013",3796.876742797954,"New York, NY","16000US3651000","new-york-ny",131465,0.01589853862601749
6,"Two or More Races",1,"Hispanic or Latino",2013,"2013",4244.54532311766,"New York, NY","16000US3651000","new-york-ny",117420,0.014200025903981848
