county,pop1,white,black,asian,indigenous,pacific,hispanic,two_pop
Alexander,43258,0.8735262841555319,0.09348559803966897,0.009293078736881039,0.00520135003929909,0.0006935133385732119,0.04380692588654122,0.017800175690045772
Alexandria city,159428,0.6669405625109768,0.22762626389341897,0.06509521539503726,0.006259879067666909,0.001379933261409539,0.16608751285846904,0.03269814587149058
Allamakee,13687,0.9610579381895229,0.016219770585226858,0.004602907868780595,0.007013954847665668,0.0029955432161905458,0.07108935486227808,0.008109885292613429
Allegan,118081,0.9487301089929794,0.015531711282932901,0.008519575545600054,0.007477917700561479,0.00038109433355069825,0.07519414639103666,0.019359592144375472
Allegany,116507,0.9114473808440695,0.0556361420343842,0.011793282807041637,0.002574952577956689,0.0005836559176701829,0.01836799505609105,0.017964585818877835
Alleghany,25997,0.9390698926799246,0.034427049274916334,0.005192906873870062,0.00396199561487864,0.000653921606339193,0.05135207908604839,0.016694233950071163
Allegheny,1216045,0.7986291625721088,0.13436509339703712,0.04203298397674428,0.0015969803749038892,0.0003601840392419688,0.022657056276700286,0.02301559563996398
Allen,515334,0.8135694520446933,0.11411628186768193,0.035807845009256135,0.004445660484268455,0.0008266483484497433,0.06551091137010172,0.031234112245650394
Allen Parish,25627,0.7237679010418699,0.22667499122019744,0.006321457837437078,0.02345182814999805,0.0004292347914309127,0.022944550669216062,0.01935458695906661
Alpena,28405,0.968491462770639,0.00545678577715191,0.00591445168104207,0.006266502376342194,0.00042246083436014786,0.01499735961978525,0.013448336560464708
Amador,39752,0.8964580398470517,0.02681626081706581,0.016728718051921915,0.023269269470718456,0.002918092171463071,0.1447222781243711,0.03380961964177903
Amelia,13145,0.7645492582731076,0.20448839863065804,0.006085964244960061,0.00600988969189806,0.00045644731837200456,0.031799163179916316,0.018410041841004185
Amherst,31605,0.7688340452460054,0.191140642303433,0.005695301376364499,0.009207403891789274,0.00044296788482834997,0.024268311975953173,0.024679639297579496
Amite,12297,0.5861592258274376,0.39969098154021304,0.001626412946247052,0.00374074977636822,0.00024396194193705782,0.013499227453850533,0.008538667967797023
Anchorage Municipality,288000,0.6377430555555555,0.05970486111111111,0.09982986111111111,0.09089930555555556,0.027913194444444445,0.09372222222222222,0.08390972222222222
Anderson,367876,0.8313127249399254,0.1339500266394111,0.01097380639128402,0.004354728223640574,0.0007176331155063119,0.058786112711892054,0.018691080690232578
Andrew,17712,0.9627371273712737,0.011574074074074073,0.006154019873532069,0.0034439927732610657,0.0003952122854561879,0.026817976513098463,0.01569557362240289
Andrews,18705,0.9431168136861802,0.020422346966051858,0.006950013365410318,0.014648489708634055,0.00021384656508954825,0.566158781074579,0.014648489708634055
Androscoggin,108277,0.9172123350296,0.04499570545914645,0.009364869732260776,0.0042206562797269965,0.0003509517256665774,0.019394700628942434,0.023855481773599193
Angelina,86715,0.8098483538026869,0.15677795075823098,0.010644063887447385,0.007668800092256242,0.0007495819639047454,0.22718099521420745,0.014311249495473678
Anne Arundel,579234,0.7359927076103958,0.182869099534903,0.04218847650517753,0.004495592454862802,0.0011843227434853616,0.08424574524285522,0.03326980115117552
Anoka,356921,0.8376615553581885,0.07378663625844374,0.04975610849459684,0.008906732862454157,0.000619184637496813,0.04866623146298481,0.029269782388819936
Anson,24446,0.4740243802667103,0.484578254111102,0.014726335596825657,0.009285772723553956,0.0006545038043033625,0.041151926695573916,0.016730753497504705
Antrim,23324,0.9650574515520494,0.0038586863316755274,0.0033013205282112846,0.012605042016806723,0.0006431143886125879,0.025081461155890928,0.014534385182644487
Apache,71887,0.2227523752556095,0.005619931281038296,0.004799198742470822,0.7499965223197518,0.0005007859557360858,0.06588117462128062,0.016331186445393466
Appanoose,12426,0.9643489457588926,0.009415741187831965,0.006840495734749718,0.003219056816352809,0.0006438113632705617,0.02237244487365202,0.015531949138902301
Appling,18386,0.7720548243228543,0.19552920700533014,0.008321549004677471,0.005710866963994344,0.0021755683672359406,0.10034809093875775,0.016207984335907755
Appomattox,15911,0.7869398529319339,0.18546917227075607,0.0038338256552070894,0.003016780843441644,0.000502796807240274,0.018854880271510277,0.020237571491421028
Aransas,23510,0.9290089323692046,0.017269247128881327,0.02088472990216929,0.013100808166737558,0.0010208421948107189,0.27903019991492983,0.01871544023819651
Arapahoe,656590,0.7646704945247415,0.11487686379628079,0.06555993846997366,0.011613030963005833,0.003035379765150246,0.19750681551653237,0.040244292480848015
Archuleta,14029,0.9213058664195595,0.007199372727920736,0.011547508731912468,0.03371587426046047,0.0012830565257680518,0.1842611732839119,0.024948321334378788
Arenac,14883,0.9602902640596654,0.0048377343277565005,0.0030907747093999864,0.013572532419539072,0.0005375260364173889,0.020358798629308606,0.017671168447221663
Arkansas,17486,0.7176598421594418,0.25088642342445383,0.008235159556216402,0.0034885050897861146,0.0003431316481756834,0.0344275420336269,0.01938693812192611
Arlington,236842,0.7500316666807407,0.09678182079192035,0.10954560424249077,0.006455780647013621,0.0013131116947163088,0.1560154026735123,0.035872015943118195
Armstrong,66622,0.9757887784815826,0.009171144666926841,0.002941971120650836,0.0018162168652997507,0.00012008045390411575,0.010462009546396086,0.010161808411635796
Aroostook,67055,0.9479829990306465,0.011870852285437328,0.005115203937066587,0.019282678398329728,0.0003430020132726866,0.013511296696741481,0.015405264335247184
Ascension Parish,126604,0.7261381946857919,0.23959748507156173,0.014099080597769422,0.004494328773182522,0.0009162427727401977,0.05957157751729803,0.01475466809895422
Ashe,27203,0.9687166856596698,0.00963129066647061,0.005072969893026504,0.004190714259456677,0.0005514097709811418,0.05109730544425247,0.011836929750395178
Ashland,69046,0.938200619876604,0.007893288532282825,0.006922920951249891,0.0284013556179938,0.0006372563218723749,0.01850939953074762,0.017944558699997105
Ashley,19657,0.7285445388411252,0.24688406165742482,0.0026962405250038155,0.007732614335859999,0.0009665767919824999,0.05692628580149565,0.01317596784860355
Ashtabula,97241,0.9304511471498648,0.038204049732108884,0.004874487099063152,0.003218806881870816,0.00046276776256928663,0.044405137750537324,0.02278874137452309
Asotin,22582,0.9322912053848198,0.007882384199805154,0.009786555663803029,0.018466034895049156,0.002612700380834293,0.04379594367195111,0.0289611194756886
Assumption Parish,21891,0.6801425243250651,0.29587501713032754,0.004202640354483578,0.00753734411401946,0.0006852131012744963,0.03325567584852222,0.011557260974829838
