city,state,pop,white_pop,black_pop,asian_pop,indigenous,pacific_pop,hisp_pop,two_pop
Nassau,New York,1356924,995821,177429,147601,7458,1395,237225,27220
New Castle,Delaware,558753,361012,147636,32331,2657,392,58200,14725
New Haven,Connecticut,854757,660695,129807,37011,4829,923,163616,21492
New London,Connecticut,265206,221603,18545,11471,3192,384,29443,10011
New York,New York,1628706,1051724,289723,209227,19119,2954,416759,55959
Newton,Georgia,111744,53951,53322,1354,538,121,6802,2458
Norfolk,Massachusetts,706775,548186,56842,84692,1559,364,35096,15132
Northampton,Pennsylvania,305285,265108,21952,9328,1297,334,43200,7266
Oakland,Michigan,1257584,946606,175350,102526,4048,438,54538,28616
Oneida,New York,228671,196567,16291,9488,811,161,14083,5353
Ontario,New York,109777,102638,3027,1535,414,50,5614,2113
Orange,California,3175692,2258705,68041,689641,32466,12305,1081091,114534
Oswego,New York,117124,112376,1421,806,577,40,3218,1904
Palm Beach,Florida,1496770,1117321,296791,44074,8763,1720,349584,28101
Passaic,New Jersey,501826,375874,74827,28659,7473,1104,215329,13889
Penobscot,Maine,152148,144054,1493,1837,1993,55,2236,2716
Peoria,Illinois,179179,131748,33636,7327,740,118,9056,5610
Philadelphia,Pennsylvania,1584064,710338,689900,123878,13686,2447,241425,43815
Pickens,South Carolina,126884,112432,9134,2539,372,51,5000,2356
Pima,Arizona,1047279,888256,43874,35075,45800,2522,395446,31752
Plymouth,Massachusetts,521202,438775,61019,8442,1770,703,21739,10493
Portage,Ohio,162466,147542,7784,3354,350,81,3186,3355
Providence,Rhode Island,638931,497782,79858,29408,8858,1748,152606,21277
Pueblo,Colorado,168424,151568,4374,1857,5315,306,72728,5004
Racine,Wisconsin,196311,163600,23539,2600,1370,158,26754,5044
Rensselaer,New York,158714,136812,12796,4425,549,83,8260,4049
Riverside,California,2470546,1966247,179596,176725,47484,11109,1236032,89385
Rock Island,Illinois,141879,117191,15716,3766,902,65,18753,4239
Rockwall,Texas,104915,90513,7783,3382,882,121,19542,2234
Rutherford,Tennessee,332285,254630,54056,12123,1816,363,28850,9297
Sacramento,California,1552058,973964,168581,264013,23988,20077,366764,101435
Saginaw,Michigan,190539,145305,36727,2712,1141,109,16517,4545
San Bernardino,California,2180085,1668976,204454,173526,45218,10316,1186808,77595
San Diego,California,3338330,2517388,184518,419992,44091,19447,1140033,152894
San Francisco,California,881549,465286,49015,317170,6431,4031,134309,39616
San Joaquin,California,762148,503550,63247,132244,15001,6280,320334,41826
San Luis Obispo,California,283111,251422,5726,11299,3961,521,64860,10182
San Mateo,California,766573,456050,21219,234583,6584,11506,183978,36631
Santa Barbara,California,446499,381178,10897,26872,9564,1157,205535,16831
Santa Clara,California,1927852,1009277,54630,752240,22666,8856,482298,80183
Santa Cruz,California,273213,237679,4024,14428,5008,546,92922,11528
Santa Fe,New Mexico,150358,136268,1800,2332,6456,287,76529,3215
Sarasota,Florida,433742,396793,20543,7975,1380,276,41468,6775
Schenectady,New York,155299,120338,19793,7738,1153,348,11540,5929
Sedgwick,Kansas,516042,417316,47827,23654,6876,488,77640,19881
Seminole,Florida,471826,370670,61603,23358,2177,558,105946,13460
Shasta,California,180080,157768,2243,5654,5727,410,18935,8278
Shawnee,Kansas,176875,148924,14996,2763,2477,226,22671,7489
Sheboygan,Wisconsin,115340,103291,2636,6657,677,68,7715,2011
Shelby,Alabama,217702,179689,28997,4924,864,111,12635,3117
Snohomish,Washington,822083,632712,31277,99046,12947,5720,87167,40381
Somerset,New Jersey,328934,224083,34660,61787,1222,280,50061,6902
Sonoma,California,494336,428842,10244,22590,10796,2048,134954,19816
Spartanburg,South Carolina,319785,236667,66872,8267,1388,224,23304,6367
Spokane,Washington,522798,464998,10483,12742,9559,3280,31835,21736
Spotsylvania,Virginia,136215,102759,23797,3859,640,231,14603,4929
Stafford,Virginia,152882,108430,30586,5493,1155,286,21673,6932
Strafford,New Hampshire,130633,120815,1870,4895,362,70,3622,2621
Sumter,South Carolina,106721,51113,51076,1548,602,134,4469,2248
Sussex,New Jersey,140488,131021,3733,2863,392,62,12904,2417
Taylor,Texas,138034,117573,11546,3217,1398,212,34471,4088
Tippecanoe,Indiana,195732,161838,11551,17166,756,109,17063,4312
Tolland,Connecticut,150721,133558,5952,7609,414,115,8861,3073
Tulare,California,466195,411030,10176,18543,12934,1069,305824,12443
Tulsa,Oklahoma,651552,471621,70097,23356,44878,1188,86586,40412
Tuscaloosa,Alabama,209355,134441,67865,3390,776,125,8308,2758
Union,New Jersey,556341,374948,132163,31793,4390,697,182552,12350
Ventura,California,846006,711087,20273,66689,15768,2420,365835,29769
Walworth,Wisconsin,103868,99487,1290,1120,508,60,11637,1403
Warren,Ohio,234602,206178,8721,14732,485,239,6835,4247
Warren,New Jersey,105267,93880,6020,3043,399,92,10696,1833
Washington,Pennsylvania,206865,193092,6890,2423,435,59,3756,3966
Washington,Arkansas,239187,206435,8974,6297,3758,6728,40999,6995
Washington,Utah,177556,165526,1631,1836,3021,1673,19318,3869
Waukesha,Wisconsin,404198,373770,7091,15536,1358,203,19853,6240
Wayne,Ohio,115710,110177,1894,1260,244,50,2382,2085
Wayne,Michigan,1749343,955381,677506,61784,8283,342,107451,46047
Windham,Connecticut,116782,107389,3761,1740,860,91,14536,2941
Winnebago,Wisconsin,171907,157796,4302,5258,1314,101,7490,3136
Winnebago,Illinois,282572,224992,39450,8012,1571,159,38180,8388
Worcester,Massachusetts,830622,711713,50580,44902,3478,634,101093,19315
Wright,Minnesota,138377,130621,2528,1991,613,63,4326,2561
Yakima,Washington,250873,218161,3900,4002,16797,683,125816,7330
Yamhill,Oregon,107100,97848,1287,2165,2148,268,17379,3384
Yolo,California,220500,163141,6564,33204,3927,1268,70392,12396
York,South Carolina,280979,210049,54308,7813,2335,251,16642,6223
York,Pennsylvania,449058,398215,31676,6843,1702,346,36265,10276
York,Maine,207641,198143,2176,2849,790,61,3830,3622
Yuma,Arizona,213787,195033,5646,3288,4872,541,138131,4407
