cuisine,name
Barbeque,Northern BBQ & Beer Bar
Hawaiian,Aloha Hawaiian Grill
Noodles,Lai Leung Kee Noodle House
Breakfast & Brunch,Medina Cafe
Pizza,Romilano Pizza
Japanese,Saku
Indian,Sula
Chinese,Fok Po Tong
Chinese,Hao's Lamb Restaurant
Japanese,Takenaka
Cocktail Bars,Jungle Room
Noodles,Chopsticks
Thai,Bai Bua Thai Cuisine
Chinese,Joojak Restaurant
Pubs,Harold's Kitchen & Bar
Cantonese,Double Double Restaurant
Wine Bars,La Boqueria
Dive Bars,Jackalope's Neighbourhood Dive
Noodles,AAA Restaurant
Wine Bars,Bar Corso
Seafood,Oh Gee Wang Fatty Crab Pot
Desserts,Parker Rooftop
Cideries,The Cider House
Chinese,Neptune Wonton Noodle
Noodles,BLOCK 18 Cart Noodle
Mexican,Las Autenticas Tacos & Tortas Ahogadas
Japanese,Masa Japanese Restaurant
Wine Bars,Wildlight Kitchen + Bar
Sushi Bars,Shibuyatei
Asian Fusion,Red Bud Restaurant
Chinese,Szechuan Tales
Desserts,Nam Dae Moon Rice Cake
Vietnamese,Baoguette Vietnamese Bistro
Vietnamese,Lunch Lady
Brasseries,Stanley Park Taphouse
Mediterranean,Uncle Sal’s Shawarma 
Italian,Gastronomy Gastown
Japanese,Oishinoya Japanese Beef Rice
Italian,Impostori Trattoria + Negroni Bar
Creperies,Me + Crepe
Vietnamese,Linh Cafe
Chinese,Lion Eatery
Hot Dogs,Mean Poutine
Malaysian,John 3:16 Malaysian Express
Ramen,Ramen DANBO
Italian,Jo's Italian Deli
Pubs,Alibi Room
Ethiopian,Harambe Restaurant
Filipino,The Filipino Noodle Joint
Chinese,41 Noodle & Rice Pot House
Irish Pub,Dublin Crossing
Chinese,Wing Kee Restaurant
Cafes,Marulilu Cafe
Poke,Pokey Okey
Desserts,Azure Play Cafe
Japanese,Rajio Japanese Public House
Chinese,Deer Garden Signatures
French,Les Faux Bourgeois
Pubs,Flying Beaver Bar
Vietnamese,Pho 37
Breakfast & Brunch,OEB Breakfast Co. Yaletown
Food Delivery Services,852 Kitchen
French,Carthage Café
Italian,Nook
Vegetarian,4 Stones Vegetarian Cuisine
Burgers,Petite Bao
Italian,Osteria Savio Volpe
Cajun/Creole,The Captain's Boil
