county,white,black,asian,indigenous,pacific,hispanic,two_pop
Alamosa Colorado,0.47113903776258237,0.018357666481857944,0.016632785067455184,0.0545801761843159,0.0029569395675475884,0.47588246165219,0.03215671779708002
Albany New York,0.7156815250764306,0.14106433261539872,0.06836199616374146,0.0030441300661852794,0.0006611981434079855,0.0625257769078185,0.028984700791473816
Albany Wyoming,0.8190329218106996,0.019521604938271604,0.038991769547325104,0.011368312757201645,0.0011574074074074073,0.09663065843621399,0.02641460905349794
Albemarle Virginia,0.7687277051129607,0.09695417543217781,0.05534619957925546,0.0035031555840117075,0.000914662032379036,0.05774261410408854,0.02568370986920333
Alcona Michigan,0.9533877943296492,0.005478135511773186,0.004036520903411821,0.007208073041806823,0.0006727534839019703,0.01604997597308986,0.014416146083613647
Alcorn Mississippi,0.8274564987957675,0.1239412226341569,0.003923903336670907,0.004140394555245853,0.00035179823018428814,0.032176007360701434,0.01271885909127811
Aleutians East Borough Alaska,0.0905004495055439,0.10188792328438717,0.4336230146838478,0.20197782439316753,0.01198681450404555,0.1477374887623614,0.03925681750074918
Aleutians West Census Area Alaska,0.2364217252396166,0.0706425275115371,0.40113596024139153,0.12069577564785232,0.025381611643592473,0.1396876109336173,0.0427760028399006
Alexander Illinois,0.6373893421281027,0.3176531852109009,0.002950876583926402,0.004513105363652144,0.0017358097552508246,0.018573164381183824,0.02395417462246138
Alexander North Carolina,0.866522655145745,0.05904472357788623,0.010267488065711924,0.005307091233965384,0.0005333760034136064,0.047683814705176415,0.016854681707869964
Alexandria city Virginia,0.5223172842913415,0.22762626389341897,0.06509521539503726,0.006259879067666909,0.001379933261409539,0.16608751285846904,0.03269814587149058
Alfalfa Oklahoma,0.8311118905647141,0.04665029814100315,0.003858295334970186,0.04244124868467204,0.0014030164854437039,0.05980357769203788,0.031217116801122415
Alger Michigan,0.8344312692138779,0.07301273605621432,0.004501537110232762,0.04457619675010979,0.00010979358805445762,0.017127799736495388,0.031291172595520424
Allamakee Iowa,0.9001972674800905,0.016219770585226858,0.004602907868780595,0.007013954847665668,0.0029955432161905458,0.07108935486227808,0.008109885292613429
Allegan Michigan,0.8813780371101193,0.015531711282932901,0.008519575545600054,0.007477917700561479,0.00038109433355069825,0.07519414639103666,0.019359592144375472
Allegany Maryland,0.8667916382640309,0.08262326743921836,0.011318450352192684,0.0021728016359918202,0.0006958645762326743,0.01925698704839809,0.020691320154510338
Allegany New York,0.9428304875138314,0.01440628322232106,0.012518712980842247,0.00318934282180903,0.0004122279837712352,0.01700982838298149,0.013798789351500293
Alleghany North Carolina,0.8672892161264254,0.017688785130645597,0.00799138008440334,0.005297656460447158,0.00044895393732603036,0.09850049384933106,0.014097153632037352
Alleghany Virginia,0.914064602960969,0.046971736204576044,0.003095558546433378,0.0029609690444145358,0.0008075370121130552,0.01601615074024226,0.01864064602960969
Allegheny Pennsylvania,0.7810599114341986,0.13436509339703712,0.04203298397674428,0.0015969803749038892,0.0003601840392419688,0.022657056276700286,0.02301559563996398
Allen Indiana,0.7306742174379579,0.11982631116876132,0.04595582904252318,0.004692867632131907,0.0010361218985549658,0.07739540573531699,0.03228323828958157
Allen Kansas,0.8950602312232193,0.021828765462042203,0.011722855525911553,0.01042929905408683,0.0003233891179561808,0.03791737408036219,0.03031772980839195
Allen Kentucky,0.9458128078817734,0.012526389866291345,0.002768003753225428,0.0031902416138869343,0.00014074595355383532,0.0241613886934084,0.014262256626788646
Allen Ohio,0.80598137780774,0.12526501939404597,0.007992105597405008,0.0030678742757764945,0.00025402780627448683,0.033414426825336345,0.03099139236548739
Allen Parish Louisiana,0.7085495766184102,0.22667499122019744,0.006321457837437078,0.02345182814999805,0.0004292347914309127,0.022944550669216062,0.01935458695906661
Allendale South Carolina,0.22260589318600368,0.7284760589318601,0.008517495395948435,0.004143646408839779,0.0005755064456721916,0.03706261510128914,0.00886279926335175
Alpena Michigan,0.9546558704453442,0.00545678577715191,0.00591445168104207,0.006266502376342194,0.00042246083436014786,0.01499735961978525,0.013448336560464708
Alpine California,0.6129317980513729,0.00354295837023915,0.015943312666076175,0.25686448184233834,0.0,0.12311780336581045,0.04428697962798937
Amador California,0.7733447373717046,0.02681626081706581,0.016728718051921915,0.023269269470718456,0.002918092171463071,0.1447222781243711,0.03380961964177903
Amelia Virginia,0.7401293267402054,0.20448839863065804,0.006085964244960061,0.00600988969189806,0.00045644731837200456,0.031799163179916316,0.018410041841004185
Amherst Virginia,0.7489637715551337,0.191140642303433,0.005695301376364499,0.009207403891789274,0.00044296788482834997,0.024268311975953173,0.024679639297579496
Amite Mississippi,0.5785964056273888,0.39969098154021304,0.001626412946247052,0.00374074977636822,0.00024396194193705782,0.013499227453850533,0.008538667967797023
Anchorage Municipality Alaska,0.5710555555555555,0.05970486111111111,0.09982986111111111,0.09089930555555556,0.027913194444444445,0.09372222222222222,0.08390972222222222
Anderson Kansas,0.9414609315347416,0.006235683379994909,0.0069992364469330616,0.0069992364469330616,0.00012725884448969204,0.0207431916518198,0.019216085517943498
Anderson Kentucky,0.9344968567283598,0.021365454785246405,0.007077856420626896,0.002593748626192465,0.00048358025234096806,0.019255286411394908,0.0177605838132501
Anderson South Carolina,0.7712753877901638,0.16271882621273906,0.010421706375457893,0.0034014948804786775,0.00046900147118356225,0.03988980933855982,0.01760977102854491
Anderson Tennessee,0.8885655641871704,0.04097274545974174,0.015225129257709994,0.004819558834991816,0.0007924342019797865,0.03163241445607836,0.02265582374184832
Anderson Texas,0.5826275223001646,0.2187234779596432,0.009318437689443146,0.007413180912791201,0.001662769550532606,0.1820386247510176,0.017493721312895123
